device,time,x,y,z
device,3476.2400024166673,0.33198917,1.4908617,-0.42208868
device,3476.2410547916675,0.33198822,1.4908895,-0.42207772
device,3476.253936000001,0.33197868,1.4911932,-0.42195505
Gesamt_gross,3476.254774291667,0.06385052,1.4400349,-1.1181281
device,3476.2636478333343,0.33197165,1.4914203,-0.42185944
device,3476.272816208334,0.3319646,1.4916351,-0.42176455
device,3476.2824599166674,0.3319584,1.491853,-0.42166132
Gesamt_gross,3476.2897810416675,0.06385136,1.4400359,-1.1181347
device,3476.2929853750006,0.33195296,1.4920878,-0.42154428
device,3476.303423833334,0.33194995,1.4923097,-0.42142493
device,3476.3135334166673,0.33194816,1.4925114,-0.42130512
Gesamt_gross,3476.3145970416676,0.0638752,1.4399394,-1.1181529
device,3476.3233865416673,0.3319468,1.492697,-0.4211885
device,3476.333232125001,0.33194506,1.4928784,-0.42106718
device,3476.3432727916675,0.33194008,1.4930559,-0.42094406
Gesamt_gross,3476.343963500001,0.06389928,1.4398478,-1.1181722
device,3476.353397125001,0.33193055,1.4932259,-0.42082033
device,3476.3628971666676,0.3319028,1.4933766,-0.42071232
device,3476.3726881666676,0.33187342,1.4935229,-0.42060107
Gesamt_gross,3476.3739709166675,0.06390011,1.4398488,-1.1181788
device,3476.382648083334,0.33184603,1.493668,-0.4204851
device,3476.392758833334,0.33182144,1.4938097,-0.42036837
device,3476.402558208334,0.33179402,1.4939423,-0.42025584
Gesamt_gross,3476.4039717916676,0.06393802,1.439736,-1.1182024
device,3476.4125060416673,0.3317626,1.4940759,-0.420144
device,3476.4226111666676,0.33172715,1.4942099,-0.4200341
device,3476.4327252500007,0.33168483,1.4943434,-0.41992038
device,3476.4334552916675,0.33168137,1.4943537,-0.4199112
Gesamt_gross,3476.4338310416674,0.06393933,1.4397368,-1.1182077
device,3476.442567583334,0.33163932,1.4944683,-0.41981265
device,3476.453123916667,0.33158433,1.4946004,-0.419694
device,3476.463132083334,0.331527,1.4947233,-0.41958195
device,3476.4728610416673,0.3314637,1.4948459,-0.41947454
Gesamt_gross,3476.4731856666676,0.063973546,1.4396482,-1.1182353
device,3476.4829289166673,0.3313874,1.4949772,-0.419365
device,3476.4929850000008,0.33130112,1.4951152,-0.41925964
Gesamt_gross,3476.4945766666674,0.06396711,1.4396436,-1.1182489
device,3476.5031290416673,0.33120275,1.4952612,-0.41915554
device,3476.5131726666673,0.33109203,1.4954185,-0.41905686
device,3476.5238992916675,0.33096135,1.4956014,-0.41895574
Gesamt_gross,3476.524542708334,0.063960314,1.4396394,-1.1182632
device,3476.533551250001,0.33083832,1.4957843,-0.4188742
device,3476.543495958334,0.33070064,1.4959869,-0.41879755
device,3476.553820583334,0.33054268,1.4962124,-0.41872567
Gesamt_gross,3476.554530958334,0.06401956,1.4395471,-1.1182914
device,3476.5638010416674,0.3303771,1.4964352,-0.4186626
device,3476.573524958334,0.3302018,1.4966598,-0.41860482
device,3476.5840214166674,0.33000088,1.4969058,-0.4185453
Gesamt_gross,3476.5846903750007,0.06401265,1.4395424,-1.1183064
device,3476.593744916667,0.32980552,1.4971392,-0.4184917
device,3476.603748250001,0.32959297,1.4973876,-0.41843674
device,3476.613794500001,0.32937384,1.4976361,-0.41838354
