device,time,x,y,z
device,3376.8018532083343,-0.00062155724,1.6268041,-0.064872414
device,3376.8065256666673,-0.00069975853,1.6268536,-0.06477544
device,3376.817583458334,-0.0008878423,1.6269804,-0.06454694
Gesamt_3Arm,3376.8216400416673,-0.20473182,1.5213702,-0.73983353
device,3376.826691500001,-0.0010616779,1.6271054,-0.06434238
device,3376.837216000001,-0.0012682392,1.6272613,-0.06410605
device,3376.8475623333343,-0.001479688,1.627428,-0.06387078
Gesamt_3Arm,3376.848109833334,-0.20469368,1.5213736,-0.7397778
device,3376.8576950416673,-0.0017026663,1.6276096,-0.06362611
device,3376.8672029166673,-0.0019227266,1.6278003,-0.06338769
device,3376.878341458334,-0.0021896362,1.6280276,-0.06311095
Gesamt_3Arm,3376.878755500001,-0.20465672,1.5213772,-0.7397234
device,3376.8867908750008,-0.0024012327,1.6282042,-0.06290063
device,3376.8971884166676,-0.0026721954,1.6284271,-0.062642515
device,3376.9080436250006,-0.0029594898,1.6286582,-0.06238067
Gesamt_3Arm,3376.9140477083342,-0.20357215,1.521397,-0.7359033
device,3376.9166380000006,-0.0031903982,1.6288395,-0.062178463
device,3376.9265979583342,-0.0034575178,1.6290421,-0.061949696
device,3376.9373057916673,-0.003750029,1.629253,-0.06170129
Gesamt_3Arm,3376.938253375001,-0.20354736,1.5214038,-0.7358835
device,3376.947572875001,-0.0040243864,1.6294372,-0.061464667
device,3376.9568802500007,-0.004272938,1.6295909,-0.06125468
device,3376.967238083334,-0.004556003,1.6297537,-0.061021082
Gesamt_3Arm,3376.9685100000006,-0.20352376,1.5214105,-0.73586726
device,3376.9772910416673,-0.0048284247,1.629904,-0.06080019
device,3376.987377583334,-0.0051069884,1.6300553,-0.060577534
device,3376.9982340416673,-0.005416751,1.6302333,-0.060334027
device,3376.9993721666674,-0.0054480406,1.6302522,-0.06030927
Gesamt_3Arm,3377.0002329166673,-0.20464611,1.5212502,-0.73979765
device,3377.007920000001,-0.0057055666,1.6304175,-0.06011411
device,3377.0171755000006,-0.0059976294,1.630633,-0.05989882
device,3377.0276457916675,-0.0063414574,1.6309419,-0.05964741
Gesamt_3Arm,3377.0282111666675,-0.20462441,1.5212567,-0.73978496
device,3377.037961583334,-0.006711784,1.631341,-0.059394203
device,3377.0476024166674,-0.007079482,1.6318083,-0.05916041
device,3377.0577194166676,-0.007525921,1.6324512,-0.05890149
Gesamt_3Arm,3377.0583600833343,-0.20461595,1.5211592,-0.73987114
device,3377.0679325000006,-0.00801909,1.633222,-0.058636516
device,3377.077348250001,-0.008515296,1.6340363,-0.058377035
device,3377.088528208334,-0.009179354,1.6351454,-0.05802402
Gesamt_3Arm,3377.0940352500006,-0.20454729,1.5213399,-0.73926383
device,3377.0977375000007,-0.009778023,1.636141,-0.057692885
device,3377.1081988750007,-0.010507584,1.6373369,-0.05727142
device,3377.1174679166675,-0.011205912,1.6384639,-0.056848615
Gesamt_3Arm,3377.1180132916675,-0.20532846,1.5217575,-0.7410363
device,3377.1276605000007,-0.0120002935,1.6397489,-0.056344416
device,3377.137876208334,-0.012841315,1.6410784,-0.05578902
device,3377.1480842083342,-0.013726058,1.6424469,-0.055186383
Gesamt_3Arm,3377.148799875001,-0.20431077,1.5214127,-0.73814136
device,3377.1578850000005,-0.0146148205,1.6438006,-0.054566026
device,3377.1678141666675,-0.01554367,1.6451993,-0.05390164
device,3377.1779675416674,-0.016508909,1.6466357,-0.053194787
Gesamt_3Arm,3377.178814208334,-0.2052958,1.5221475,-0.7404137
device,3377.188071833334,-0.017485857,1.6480687,-0.052463472
device,3377.1973740416674,-0.018387914,1.6493728,-0.051773667
device,3377.207837125001,-0.019428225,1.6508425,-0.05095383
Gesamt_3Arm,3377.2090509166674,-0.20164764,1.5225953,-0.7271092
device,3377.2178981666675,-0.020415874,1.6522181,-0.050158825
device,3377.227757625001,-0.021365404,1.6535208,-0.0493806
device,3377.2378127916672,-0.022327723,1.6548208,-0.04858201
Gesamt_3Arm,3377.2383209166674,-0.2008133,1.5221604,-0.72501487
device,3377.247974958334,-0.023277521,1.656087,-0.047786176
device,3377.2570845416676,-0.02410829,1.657182,-0.047084033
device,3377.2676541666674,-0.02504048,1.6583955,-0.046287205
device,3377.2774942916676,-0.025865793,1.6594502,-0.04557073
Gesamt_3Arm,3377.278197958334,-0.20152438,1.522058,-0.72761047
device,3377.2859227916674,-0.026551185,1.6603056,-0.044964023
device,3377.2961252916675,-0.02735847,1.6612844,-0.044241197
Gesamt_3Arm,3377.298139208334,-0.20074093,1.5221118,-0.724732
device,3377.306202750001,-0.028111788,1.6621641,-0.04358604
device,3377.3161111666673,-0.028822541,1.6629685,-0.04296416
device,3377.3265527500007,-0.029533597,1.6637456,-0.04234573
Gesamt_3Arm,3377.3292472500007,-0.19968832,1.522449,-0.7202373
device,3377.337109708334,-0.030223012,1.6644661,-0.041754305
device,3377.347075083334,-0.030848475,1.6650835,-0.04122373
device,3377.357621333334,-0.031466335,1.6656519,-0.04070088
Gesamt_3Arm,3377.3593417500006,-0.2004993,1.5218503,-0.72384113
device,3377.3667346666675,-0.032018423,1.6661198,-0.04023379
device,3377.377749500001,-0.03260165,1.6665733,-0.039745517
device,3377.3886644166673,-0.033186555,1.6669807,-0.039265215
device,3377.3908898750005,-0.033319592,1.6670667,-0.03915769
Gesamt_3Arm,3377.392544208334,-0.199705,1.5220696,-0.72031176
device,3377.395874375001,-0.033568207,1.6672212,-0.03895872
device,3377.4056879166674,-0.034046803,1.667496,-0.038588423
device,3377.415707208334,-0.03450799,1.6677499,-0.038290918
Gesamt_3Arm,3377.418008875001,-0.19994628,1.5220771,-0.72086596
device,3377.4257248333342,-0.034952108,1.6679604,-0.038004808
device,3377.4357250416674,-0.03537783,1.6681399,-0.03773662
device,3377.445922125001,-0.035795778,1.6683036,-0.037483837
Gesamt_3Arm,3377.454406708334,-0.20006812,1.5220606,-0.7211262
device,3377.4556562500006,-0.036184788,1.6684507,-0.0372653
device,3377.4655946666676,-0.03658378,1.6685987,-0.037066698
device,3377.4759050000007,-0.037015676,1.6687527,-0.03688985
Gesamt_3Arm,3377.4783737500006,-0.20037234,1.521797,-0.72229624
device,3377.4863097500006,-0.03744626,1.6689073,-0.036731422
device,3377.496158416667,-0.03785324,1.669049,-0.036596954
device,3377.5063455416675,-0.038269877,1.6691827,-0.036468208
Gesamt_3Arm,3377.5083324166676,-0.20044899,1.521805,-0.7223771
device,3377.5163667500005,-0.03867805,1.6693001,-0.036346674
device,3377.526206000001,-0.039075732,1.6694045,-0.036230743
device,3377.536563083334,-0.039493322,1.6695061,-0.03611231
Gesamt_3Arm,3377.538260625001,-0.20052493,1.5218136,-0.72245616
device,3377.5461810000006,-0.03987062,1.6695966,-0.036011755
device,3377.5562665000007,-0.040267587,1.6696931,-0.03591734
device,3377.566396083334,-0.040671945,1.6697947,-0.035839796
Gesamt_3Arm,3377.5685515833343,-0.20069337,1.5216823,-0.72278875
device,3377.5762850000006,-0.041083783,1.6698984,-0.035795357
device,3377.586288250001,-0.04149577,1.6700038,-0.035761263
device,3377.596459958334,-0.041906565,1.6701121,-0.035735812
Gesamt_3Arm,3377.5980664166673,-0.2007668,1.5216907,-0.7228646
device,3377.6062752500006,-0.042295665,1.670217,-0.03572228
device,3377.616169583334,-0.042676896,1.6703194,-0.035720672
device,3377.6262755416674,-0.043062925,1.6704195,-0.035730004
device,3377.6366319166673,-0.04344043,1.6705103,-0.035749998
Gesamt_3Arm,3377.640876458334,-0.20083392,1.5217147,-0.7228532
device,3377.6467845000006,-0.04379433,1.6705912,-0.035779722
device,3377.655446916667,-0.044102788,1.6706582,-0.03581512
Gesamt_3Arm,3377.6580076666673,-0.20089924,1.5217386,-0.7228399
device,3377.665642416667,-0.044443607,1.6707299,-0.03586495
device,3377.675610625001,-0.0447658,1.6707978,-0.035924044
device,3377.6867429166673,-0.045131773,1.6708812,-0.03599068
Gesamt_3Arm,3377.689006458334,-0.20118892,1.521557,-0.7236213
device,3377.6962331250006,-0.045431018,1.6709445,-0.036060095
device,3377.7061196250006,-0.0457294,1.6710024,-0.03614676
device,3377.716721333334,-0.04602754,1.6710527,-0.03625232
Gesamt_3Arm,3377.7193941666674,-0.2012533,1.5215797,-0.7236104
device,3377.7263552916675,-0.046282172,1.6710863,-0.03635943
device,3377.736433458334,-0.046530962,1.6711109,-0.03647983
device,3377.7463210000005,-0.0467633,1.6711218,-0.03661245
Gesamt_3Arm,3377.7489425416675,-0.20131612,1.5216026,-0.72359824
device,3377.7562550000007,-0.04699099,1.6711092,-0.036775112
device,3377.7677373750007,-0.047234893,1.6710906,-0.03696829
device,3377.768680333334,-0.047253132,1.6710885,-0.036983848
device,3377.775128583334,-0.047376037,1.6710756,-0.037089467
Gesamt_3Arm,3377.7792610416673,-0.20137787,1.5216255,-0.72358507
device,3377.7855822500005,-0.047556162,1.6710535,-0.03725922
device,3377.7956182500006,-0.04772222,1.6710294,-0.037428796
device,3377.8052474166675,-0.047865454,1.671009,-0.037588947
device,3377.8150920416674,-0.048000693,1.6709894,-0.037750542
Gesamt_3Arm,3377.815479000001,-0.20231295,1.5212713,-0.7269135
device,3377.8250980000007,-0.048125505,1.6709701,-0.03790915
device,3377.8350661666673,-0.048243403,1.6709538,-0.038060963
Gesamt_3Arm,3377.8380891666675,-0.20239139,1.5212789,-0.7269917
device,3377.8450926250007,-0.04836437,1.6709379,-0.038209226
device,3377.854993083334,-0.04847169,1.670921,-0.038346887
device,3377.865100833334,-0.048570722,1.6709034,-0.038474645
Gesamt_3Arm,3377.8680747500007,-0.20246601,1.5212877,-0.7270573
device,3377.8750313750006,-0.048657354,1.6708875,-0.03859169
device,3377.8850357916676,-0.0487355,1.6708728,-0.038701057
device,3377.8950926666676,-0.04880577,1.6708627,-0.0388046
Gesamt_3Arm,3377.8985350416674,-0.2025392,1.5212966,-0.72711986
device,3377.9051465416674,-0.04886675,1.6708583,-0.03890556
device,3377.9155004166673,-0.04891956,1.6708623,-0.03900498
device,3377.925509208334,-0.04895863,1.6708735,-0.039099064
Gesamt_3Arm,3377.9281891250007,-0.20261276,1.5214008,-0.72657925
device,3377.935262000001,-0.048988223,1.6708806,-0.03918743
device,3377.945301208334,-0.049027443,1.6708505,-0.039272606
device,3377.955433333334,-0.049058437,1.6708143,-0.039345026
Gesamt_3Arm,3377.958084833334,-0.2026844,1.5214101,-0.7266388
device,3377.9652496250005,-0.04908103,1.6707726,-0.039399736
device,3377.975368708334,-0.04910052,1.6707301,-0.03943956
device,3377.985169583334,-0.049119473,1.6706913,-0.039465368
device,3377.995476000001,-0.049146056,1.6706591,-0.039479494
