device,time,x,y,z
device,1896.0207202500005,0.019764839,1.6957147,-0.12533829
device,1896.021571916667,0.019757448,1.6957188,-0.12534685
device,1896.032726666667,0.019672334,1.6957759,-0.12547386
device,1896.0536088750005,0.019545943,1.6958894,-0.1257842
Gesamt_3Arm,1896.0539942500004,-0.19365126,1.6103302,-0.750697
device,1896.0659451250003,0.019485023,1.6959583,-0.12601258
Gesamt_3Arm,1896.067255666667,-0.19366059,1.6103334,-0.75079644
device,1896.074026541667,0.019451886,1.6960018,-0.12617382
device,1896.083610541667,0.019414425,1.6960535,-0.12638402
device,1896.0931108333336,0.019367157,1.6961013,-0.12661955
Gesamt_3Arm,1896.094222041667,-0.19379586,1.6103265,-0.7508481
device,1896.1037179583338,0.019317508,1.6961565,-0.1268936
device,1896.1135520416672,0.019269109,1.6962153,-0.12717447
device,1896.1235752083337,0.019217432,1.6962793,-0.12746891
Gesamt_3Arm,1896.1252647083338,-0.19380578,1.610338,-0.750944
device,1896.134305166667,0.019157857,1.6963568,-0.12779655
device,1896.1450310416672,0.019095868,1.6964434,-0.12814102
device,1896.1541063750003,0.019040883,1.6965255,-0.12844452
Gesamt_3Arm,1896.1602512500003,-0.19382599,1.6103244,-0.75084466
device,1896.1644170833338,0.018977497,1.696631,-0.12880026
device,1896.1740762083336,0.018918691,1.6967449,-0.12916443
device,1896.1837692083338,0.018857867,1.6968806,-0.12954237
Gesamt_3Arm,1896.1844492083337,-0.19384977,1.6103053,-0.75074387
device,1896.1938955416672,0.01877105,1.6970651,-0.12994954
device,1896.2036448333338,0.01869452,1.6972718,-0.13036668
device,1896.213559291667,0.018619386,1.6975241,-0.13083166
Gesamt_3Arm,1896.214186166667,-0.19387883,1.6102774,-0.75063777
device,1896.2236613333337,0.018553315,1.6978046,-0.13133079
device,1896.2336845416671,0.018496633,1.6981125,-0.13186696
device,1896.2440555833336,0.018449247,1.6984535,-0.13245498
Gesamt_3Arm,1896.2466355000004,-0.1938039,1.6102723,-0.7505728
device,1896.253531791667,0.018415064,1.6987891,-0.13302493
device,1896.2636557500005,0.01838541,1.6991763,-0.13366868
device,1896.273787291667,0.018360615,1.6995848,-0.13433254
Gesamt_3Arm,1896.2743934166672,-0.19375128,1.6102355,-0.7503208
device,1896.2835895833337,0.01833865,1.7000024,-0.13499847
device,1896.2933407083337,0.018323869,1.7004443,-0.13569826
device,1896.3037860833338,0.018321782,1.7009251,-0.1364685
Gesamt_3Arm,1896.3046249583338,-0.19355199,1.6102102,-0.74977714
device,1896.3134566250005,0.01834026,1.7013726,-0.1372173
device,1896.3237064166672,0.018385945,1.7018191,-0.1380257
device,1896.3340694583337,0.018462386,1.7022142,-0.13884802
device,1896.3433560000003,0.018562675,1.7025075,-0.13959076
Gesamt_3Arm,1896.344173416667,-0.19344696,1.6101799,-0.74924004
device,1896.3537466250004,0.018706325,1.7027464,-0.1403854
device,1896.3634768333338,0.018891275,1.7029046,-0.14119425
Gesamt_3Arm,1896.364949291667,-0.19302663,1.6101639,-0.7481788
device,1896.3736883333338,0.019113332,1.7029831,-0.14199907
device,1896.3835060833337,0.019378066,1.7029977,-0.14279148
device,1896.3938470833336,0.019714206,1.702958,-0.1436513
Gesamt_3Arm,1896.394528291667,-0.19253558,1.610133,-0.7466542
device,1896.4043122083337,0.020113705,1.7028677,-0.14453621
device,1896.4139058333337,0.020540208,1.702753,-0.1453634
device,1896.4241373750003,0.021063833,1.7025926,-0.146253
Gesamt_3Arm,1896.4253567500004,-0.19211414,1.6101205,-0.7455536
device,1896.4338934166672,0.021632552,1.7023982,-0.14710163
device,1896.4438176250005,0.022289548,1.7021421,-0.14796002
device,1896.4540289583338,0.023048429,1.7018031,-0.14882022
Gesamt_3Arm,1896.4544982500004,-0.19152468,1.6101098,-0.74406147
device,1896.4637376250005,0.023858905,1.7014188,-0.14961919
device,1896.4733021250004,0.024724692,1.7010046,-0.15036172
device,1896.4835053333338,0.025745034,1.7005827,-0.15114237
Gesamt_3Arm,1896.4842675833338,-0.1928297,1.6100721,-0.7467104
device,1896.4931808333338,0.026802778,1.700253,-0.15187946
device,1896.5026487083337,0.02791813,1.7000295,-0.15260288
device,1896.512000416667,0.029092727,1.699901,-0.15332027
Gesamt_3Arm,1896.5204724166672,-0.19260621,1.6100807,-0.74630713
device,1896.5219027916671,0.03042838,1.6998458,-0.15409553
device,1896.5318630833337,0.03186277,1.6998457,-0.15488306
device,1896.5421835833338,0.033455577,1.6998895,-0.1557086
Gesamt_3Arm,1896.5444260833337,-0.19271383,1.6102153,-0.74619704
device,1896.552183541667,0.035105225,1.6999909,-0.1565021
device,1896.562005916667,0.03682512,1.7001255,-0.15730119
device,1896.5722317083337,0.038693845,1.700281,-0.15813744
Gesamt_3Arm,1896.574716166667,-0.19269219,1.6102252,-0.74616575
device,1896.5823570000005,0.040643718,1.7004311,-0.15897633
device,1896.5923197500003,0.042653825,1.7005539,-0.15981328
device,1896.6025248750004,0.044817567,1.7006388,-0.16068718
Gesamt_3Arm,1896.6052973333337,-0.18578702,1.6102645,-0.7317323
device,1896.6124752500004,0.04697126,1.7006797,-0.16153523
device,1896.6223814583338,0.049220327,1.7006809,-0.16240652
device,1896.6324783750003,0.051616397,1.7006389,-0.16332991
Gesamt_3Arm,1896.6347488750005,-0.18540463,1.61004,-0.7321998
device,1896.6426332500005,0.054088,1.7005295,-0.16428304
device,1896.651814791667,0.056450427,1.700385,-0.16519406
device,1896.6620675000004,0.059126914,1.700189,-0.16622788
Gesamt_3Arm,1896.665382666667,-0.18546695,1.61005,-0.7323249
device,1896.6722640833339,0.06186402,1.6999582,-0.16728541
device,1896.6822670833337,0.06465936,1.6997031,-0.16836917
device,1896.692442541667,0.06758395,1.6994207,-0.16950636
device,1896.702206041667,0.07048833,1.6991324,-0.1706359
Gesamt_3Arm,1896.7028355000004,-0.18652171,1.6098647,-0.7351959
device,1896.7118837083337,0.073458485,1.6988325,-0.17178969
device,1896.721865666667,0.076577954,1.6985075,-0.17299782
Gesamt_3Arm,1896.7247733333338,-0.18383744,1.6096246,-0.73164606
device,1896.7318663750004,0.079734035,1.6981611,-0.1742182
device,1896.7421231666672,0.08305162,1.6977985,-0.17550626
device,1896.7524490833337,0.08643636,1.697486,-0.17684214
Gesamt_3Arm,1896.7555796250003,-0.18357724,1.6095309,-0.7324563
device,1896.7619961250005,0.08963147,1.6972697,-0.17812052
device,1896.771891791667,0.09299648,1.697154,-0.17949608
device,1896.7820479583338,0.09646505,1.6971676,-0.18095392
Gesamt_3Arm,1896.7860654583337,-0.1833924,1.6095014,-0.7327846
device,1896.7919926250004,0.09988326,1.6973,-0.18243535
device,1896.8022199166671,0.1033762,1.6975245,-0.18399253
device,1896.8122844583338,0.10688484,1.6977944,-0.18560082
Gesamt_3Arm,1896.8148332083338,-0.18344468,1.60946,-0.73403305
device,1896.822337916667,0.11038566,1.6980805,-0.18724658
device,1896.8321523750003,0.11381393,1.698343,-0.18890116
device,1896.8422206666671,0.117328405,1.6985902,-0.19064218
Gesamt_3Arm,1896.8458179583338,-0.18039453,1.6092453,-0.72989446
device,1896.852258541667,0.12081957,1.6988096,-0.1924127
device,1896.8623055416672,0.12432951,1.6990083,-0.1942426
device,1896.8725150833338,0.12785935,1.6991923,-0.19613244
device,1896.882390291667,0.13124382,1.6993504,-0.19798881
Gesamt_3Arm,1896.884064166667,-0.18106034,1.6089526,-0.7324741
device,1896.8923803750004,0.1346758,1.6994867,-0.19991502
device,1896.9021428333338,0.13799512,1.6995784,-0.201814
Gesamt_3Arm,1896.9053931666672,-0.18117261,1.6088256,-0.73300534
device,1896.9121879583338,0.14137748,1.69961,-0.20377901
device,1896.9219704583338,0.14468026,1.6995714,-0.20572385
device,1896.9323113750004,0.14807498,1.6994944,-0.20775121
Gesamt_3Arm,1896.934731791667,-0.181149,1.6086102,-0.73390913
device,1896.9417510000005,0.15120527,1.6994205,-0.20965037
device,1896.9516871666672,0.15442008,1.6993746,-0.21163848
device,1896.9621183750005,0.15771616,1.6993756,-0.2137152
Gesamt_3Arm,1896.9644734583337,-0.18157047,1.6085956,-0.73475224
device,1896.9721192083337,0.16083828,1.6994237,-0.2157208
device,1896.9819979583337,0.1638864,1.6995071,-0.2177156
device,1896.992517166667,0.16701743,1.699627,-0.21980236
Gesamt_3Arm,1896.9947285000005,-0.18094173,1.6084678,-0.7346612
device,1897.0024102500004,0.16996354,1.6997789,-0.22181961
device,1897.012199541667,0.17274746,1.6999866,-0.22385217
device,1897.0222804583339,0.17556846,1.700222,-0.22594708
Gesamt_3Arm,1897.0282893333338,-0.18132517,1.6084284,-0.7357805
device,1897.0337627500005,0.17870855,1.7005068,-0.22832188
device,1897.0354457500005,0.17919546,1.7005532,-0.228695
device,1897.0412265416671,0.18076992,1.7007108,-0.22991186
device,1897.051541291667,0.18347299,1.7010112,-0.23204067
device,1897.0616875833337,0.1861614,1.7013509,-0.23420912
Gesamt_3Arm,1897.0666875000004,-0.17973945,1.608251,-0.73387414
device,1897.0715377083338,0.18869108,1.7017071,-0.23629645
device,1897.081624791667,0.19123888,1.7020831,-0.23843962
Gesamt_3Arm,1897.0849087500005,-0.17993274,1.6082543,-0.7341086
device,1897.0914444166672,0.1937353,1.7024509,-0.24056765
device,1897.101468916667,0.19622424,1.7028028,-0.24268869
device,1897.1114337083338,0.19866264,1.7031292,-0.24479765
Gesamt_3Arm,1897.1151107500004,-0.18005204,1.6082302,-0.7346402
device,1897.1214705416671,0.20109504,1.7034323,-0.2469315
device,1897.1314513750003,0.20345157,1.7037058,-0.24903168
device,1897.141571666667,0.20582801,1.7039534,-0.25117868
Gesamt_3Arm,1897.1464018750005,-0.17981428,1.6082121,-0.73434985
device,1897.151636416667,0.20812848,1.7041447,-0.25328305
device,1897.161524791667,0.21036476,1.7042612,-0.25535136
device,1897.1715215000004,0.21261278,1.7042887,-0.25745222
Gesamt_3Arm,1897.1747335833338,-0.1799838,1.6082292,-0.7345075
device,1897.1814707500005,0.21478677,1.7042036,-0.2595004
device,1897.1914366250005,0.21691322,1.7040476,-0.261515
device,1897.2015137916671,0.2190153,1.7038717,-0.2635211
Gesamt_3Arm,1897.2055745000005,-0.18028238,1.6082368,-0.7350589
device,1897.2113909583338,0.22104326,1.7037045,-0.2654751
device,1897.2214012500003,0.22302985,1.7035613,-0.2674069
device,1897.2315041250004,0.2249589,1.7034645,-0.2693038
device,1897.2411531250004,0.22678038,1.7034302,-0.27111837
Gesamt_3Arm,1897.2504878333336,-0.17995632,1.6083349,-0.73494786
device,1897.2510966250004,0.22856385,1.7034687,-0.27292532
device,1897.2612372083338,0.23029119,1.7035835,-0.2747105
Gesamt_3Arm,1897.264538916667,-0.18016073,1.6083829,-0.7349654
device,1897.271186791667,0.23193228,1.7037584,-0.2764379
device,1897.2811800000004,0.23347032,1.7039773,-0.27806208
device,1897.2911711250003,0.23494706,1.7042267,-0.27965143
Gesamt_3Arm,1897.2943352500004,-0.1802746,1.608571,-0.73525274
device,1897.3011990833338,0.23635805,1.704498,-0.2812008
device,1897.3111377083337,0.23770249,1.7047828,-0.28270903
device,1897.3212298750004,0.2390013,1.7050748,-0.28419387
Gesamt_3Arm,1897.324701541667,-0.18029642,1.608601,-0.7350895
device,1897.3312092916672,0.24022537,1.7053554,-0.28562135
device,1897.341169541667,0.24139112,1.7056179,-0.28700942
device,1897.3512202500003,0.24251455,1.7058566,-0.28837276
Gesamt_3Arm,1897.354453166667,-0.18064544,1.6087182,-0.7357534
device,1897.361182041667,0.24358684,1.7060721,-0.28970283
device,1897.3711272500004,0.2446003,1.7062544,-0.29100677
device,1897.381163416667,0.24556011,1.7064021,-0.29229566
Gesamt_3Arm,1897.3842928333338,-0.18049052,1.6086942,-0.7358167
device,1897.3911500833337,0.24646184,1.7065068,-0.29356617
