device,time,x,y,z
device,1724.8020970000005,0.028842058,1.7145779,-0.092021346
Gesamt_3Arm,1724.803087791667,-0.039730072,1.5615894,-0.7404278
device,1724.8049707083337,0.02884984,1.7145758,-0.09202832
device,1724.815454416667,0.028877582,1.7145703,-0.09205365
device,1724.8251295000005,0.028902054,1.7145648,-0.092074454
Gesamt_3Arm,1724.826412166667,-0.039753914,1.5616022,-0.7402461
device,1724.834815791667,0.028924108,1.7145634,-0.09209496
device,1724.844954416667,0.028946519,1.7145624,-0.09211415
device,1724.8548280833338,0.028968275,1.7145637,-0.09213036
Gesamt_3Arm,1724.856391291667,-0.039777398,1.5616151,-0.740066
device,1724.864774166667,0.028990746,1.7145636,-0.09214264
device,1724.875333541667,0.029014818,1.7145633,-0.09215063
device,1724.8856088750003,0.029040005,1.7145646,-0.092155695
Gesamt_3Arm,1724.8864001250004,-0.039761364,1.5616179,-0.739888
device,1724.8955853333337,0.029064424,1.7145675,-0.09215802
device,1724.905687666667,0.029090412,1.7145754,-0.09216112
device,1724.9160535833337,0.029116571,1.7145832,-0.09216398
Gesamt_3Arm,1724.917790041667,-0.03978443,1.56163,-0.73971456
device,1724.9254476250003,0.029141486,1.714592,-0.09216946
device,1724.9347530416671,0.02916544,1.7145984,-0.09217459
device,1724.9458412500003,0.029192653,1.7146065,-0.09218097
Gesamt_3Arm,1724.9524167083337,-0.039759815,1.5616417,-0.7395107
device,1724.955481916667,0.029214263,1.7146118,-0.0921877
device,1724.965230541667,0.029235985,1.7146099,-0.09219289
device,1724.9759524583337,0.02925384,1.7146034,-0.09219819
Gesamt_3Arm,1724.9773915833337,-0.039735794,1.5616529,-0.73931116
device,1724.986237916667,0.029264271,1.7145948,-0.09220356
device,1724.995838791667,0.029266562,1.7145867,-0.09220874
device,1725.006276166667,0.029262304,1.7145765,-0.09221631
Gesamt_3Arm,1725.0074357083338,-0.039646268,1.561645,-0.73912925
device,1725.0164041666671,0.02924794,1.7145693,-0.09222585
device,1725.0174455833337,0.029246032,1.7145684,-0.09222704
device,1725.0256218333336,0.029225409,1.7145658,-0.09223789
device,1725.0360584583336,0.029187508,1.7145638,-0.09225291
Gesamt_3Arm,1725.0368655833338,-0.039622903,1.561656,-0.7389353
device,1725.0462321250004,0.029140797,1.7145611,-0.092267156
device,1725.0554985000003,0.029091325,1.7145596,-0.09228027
device,1725.065822291667,0.029029489,1.7145586,-0.09229535
Gesamt_3Arm,1725.0664857500003,-0.039599836,1.5616665,-0.73874456
device,1725.0759238750004,0.028962612,1.7145565,-0.09230834
device,1725.0857266250005,0.028891385,1.7145524,-0.09232217
device,1725.096120541667,0.028812587,1.7145466,-0.09233731
Gesamt_3Arm,1725.0965778333336,-0.039577246,1.561677,-0.7385574
device,1725.106076291667,0.028733313,1.7145379,-0.09235257
device,1725.1152300833337,0.028657973,1.7145278,-0.09236616
device,1725.1258502083338,0.02856952,1.7145144,-0.0923813
Gesamt_3Arm,1725.1314443333338,-0.039411128,1.5616779,-0.73854
device,1725.135506041667,0.028488576,1.7145028,-0.09239489
device,1725.145311416667,0.028406084,1.7144926,-0.09240919
device,1725.1553737083336,0.028320968,1.7144837,-0.09242445
Gesamt_3Arm,1725.156851541667,-0.039415598,1.5616788,-0.7384842
device,1725.165460791667,0.028237283,1.7144744,-0.09243983
device,1725.1754180000005,0.02815434,1.7144678,-0.09245396
device,1725.1860807500004,0.028066874,1.7144624,-0.09246975
Gesamt_3Arm,1725.1869686250004,-0.03941995,1.5616796,-0.7384291
device,1725.195278416667,0.027992256,1.7144578,-0.09248394
device,1725.2056001250003,0.027908385,1.7144496,-0.09249979
device,1725.215549541667,0.02782768,1.7144387,-0.09251422
Gesamt_3Arm,1725.2164105833338,-0.03942448,1.5616802,-0.73837703
device,1725.2253964583338,0.027747989,1.714426,-0.09252912
device,1725.2352655833338,0.027661111,1.7144128,-0.09255195
device,1725.245608666667,0.027570035,1.7143956,-0.09257555
Gesamt_3Arm,1725.2501465833336,-0.03920144,1.5616946,-0.7383798
device,1725.2556102083338,0.027483165,1.7143798,-0.09260064
device,1725.2652655833338,0.02739662,1.7143648,-0.092625916
device,1725.2761685833336,0.02730298,1.7143503,-0.09265274
Gesamt_3Arm,1725.278891166667,-0.039205313,1.5616953,-0.73832995
device,1725.2843178333337,0.027222522,1.7143395,-0.09267563
device,1725.294008791667,0.027132392,1.7143286,-0.09270257
device,1725.305156666667,0.02702656,1.7143188,-0.092733145
Gesamt_3Arm,1725.312984541667,-0.03926295,1.5616996,-0.73827285
device,1725.3143695000003,0.026938524,1.7143146,-0.09275973
device,1725.3251020000005,0.026836209,1.7143099,-0.09279066
device,1725.3351429583338,0.02674061,1.7143058,-0.09282142
Gesamt_3Arm,1725.338770166667,-0.039319396,1.5617042,-0.7382155
device,1725.3446781250004,0.026649892,1.7143004,-0.092850864
device,1725.3546127500003,0.026556969,1.7142932,-0.09288055
device,1725.3648429583336,0.02646596,1.7142822,-0.092911065
Gesamt_3Arm,1725.3696047916671,-0.039163947,1.5617273,-0.7382038
device,1725.3746608750005,0.02638048,1.7142692,-0.09294015
device,1725.3845806250004,0.026297808,1.7142553,-0.092968404
device,1725.3947919166671,0.026217103,1.7142409,-0.0929988
Gesamt_3Arm,1725.3991350833337,-0.039218247,1.5617317,-0.7381497
device,1725.4040915000003,0.026150763,1.714226,-0.09302765
device,1725.4144340833336,0.026082516,1.7142107,-0.09305817
device,1725.424626541667,0.026021183,1.7141956,-0.09308618
device,1725.4255091250004,0.026016116,1.7141943,-0.09308845
Gesamt_3Arm,1725.427566166667,-0.039270937,1.5617361,-0.7380962
device,1725.433875791667,0.025972843,1.7141838,-0.09311086
device,1725.4440324583338,0.025928676,1.7141705,-0.09313649
device,1725.4542205416672,0.02589076,1.7141603,-0.09316105
Gesamt_3Arm,1725.4572871666671,-0.039322734,1.5617405,-0.7380447
device,1725.463848291667,0.025862362,1.7141532,-0.09318411
device,1725.474031541667,0.025839686,1.7141483,-0.0932067
device,1725.4839549583337,0.025824904,1.7141478,-0.09323162
device,1725.4941145833336,0.025818765,1.714148,-0.09325606
Gesamt_3Arm,1725.4946495833337,-0.039177716,1.5617436,-0.7382172
device,1725.5039516250004,0.025825143,1.7141533,-0.093277395
device,1725.5141189583337,0.025839925,1.7141602,-0.09329885
Gesamt_3Arm,1725.517506541667,-0.03925705,1.5617265,-0.73833627
device,1725.5239940833337,0.025863528,1.7141671,-0.09331924
device,1725.5339450000004,0.025896013,1.7141758,-0.09333879
device,1725.5446787500005,0.025942266,1.7141893,-0.09336001
Gesamt_3Arm,1725.549914416667,-0.03933555,1.5617096,-0.7384537
device,1725.5540568333338,0.025994956,1.7142065,-0.09338015
device,1725.564101416667,0.026063323,1.7142322,-0.09340447
device,1725.5741293333338,0.026146539,1.7142649,-0.09343332
