device,time,x,y,z
device,543.9103250000002,-0.024773967,1.5804808,-0.04052431
device,543.9131850416668,-0.024775341,1.5804834,-0.040525734
device,543.9333950833335,-0.024782673,1.5805101,-0.04053566
Gesamt_3Arm,543.9336116250001,0.01405023,1.4978547,-0.73119605
device,543.9430862500001,-0.024784684,1.5805259,-0.040539682
device,543.9543017500001,-0.024785176,1.5805433,-0.04054475
device,543.9631777083334,-0.024783308,1.5805557,-0.040550034
Gesamt_3Arm,543.9635257083335,0.014053822,1.4978598,-0.731168
device,543.9735897500001,-0.024779782,1.5805697,-0.040556103
device,543.9838582500001,-0.02477403,1.5805857,-0.040563792
Gesamt_3Arm,543.9849415833335,0.014085442,1.4978696,-0.731145
device,543.9947192916668,-0.024766732,1.5806019,-0.04057177
device,544.0038139166668,-0.024759304,1.5806183,-0.040579744
device,544.0140567916668,-0.024749706,1.5806347,-0.04058684
Gesamt_3Arm,544.0154519583334,0.014089018,1.4978747,-0.7311182
device,544.0240019166667,-0.024740145,1.5806473,-0.04059106
device,544.0343512916668,-0.024727643,1.5806553,-0.04059151
device,544.0450389166668,-0.024710903,1.580659,-0.040587854
Gesamt_3Arm,544.0453504166668,0.014092505,1.4978799,-0.7310917
device,544.0535450833335,-0.024693826,1.5806568,-0.04058106
device,544.0633985000002,-0.024671033,1.5806502,-0.04056886
device,544.0733412916668,-0.02464667,1.5806417,-0.040551662
Gesamt_3Arm,544.0746972916668,0.014095888,1.4978849,-0.73106503
device,544.0837317500001,-0.024619605,1.5806321,-0.040529646
device,544.0933625416668,-0.02459913,1.580613,-0.040503364
device,544.1033063750001,-0.02457818,1.5805943,-0.04047308
Gesamt_3Arm,544.1047722083334,0.014069974,1.4978964,-0.7310271
device,544.1130126250001,-0.024557853,1.5805805,-0.040441196
device,544.1228153333335,-0.024537459,1.5805719,-0.04040569
device,544.1328480000001,-0.024517983,1.5805678,-0.040363908
device,544.1428446250001,-0.024497494,1.5805666,-0.040316164
Gesamt_3Arm,544.1437076666668,0.014082879,1.4978994,-0.73097867
device,544.1529612083334,-0.024474472,1.5805659,-0.04025951
device,544.1629345416668,-0.024449632,1.5805638,-0.040195048
Gesamt_3Arm,544.1645963333334,0.014095813,1.4979022,-0.73093086
device,544.1732923333335,-0.024421453,1.5805624,-0.040119827
device,544.1839725833335,-0.024391029,1.5805633,-0.040033184
device,544.1939248750001,-0.02435872,1.5805684,-0.039942116
Gesamt_3Arm,544.1948231666668,0.014108628,1.497905,-0.73088175
device,544.2038650000001,-0.024322927,1.5805829,-0.039847523
device,544.2138741666668,-0.024284363,1.5806084,-0.03974858
device,544.2240032083334,-0.024243722,1.5806437,-0.039641093
Gesamt_3Arm,544.2248567916668,0.01404281,1.4979043,-0.7308385
device,544.2343107083334,-0.024200335,1.5806826,-0.0395284
device,544.2437411250002,-0.024157826,1.5807233,-0.039419793
device,544.2534619166668,-0.02411269,1.5807711,-0.039304726
Gesamt_3Arm,544.2547481250001,0.014055282,1.497907,-0.7307899
device,544.2633629583335,-0.024064347,1.5808268,-0.039184183
device,544.2739145833334,-0.024012685,1.580895,-0.03905344
device,544.2841675833334,-0.023962134,1.5809674,-0.038922857
Gesamt_3Arm,544.2852062916668,0.014067978,1.4979098,-0.7307422
device,544.2942872500001,-0.023911932,1.5810432,-0.038792353
device,544.3030765833334,-0.023865968,1.5811129,-0.03867659
device,544.3135135000001,-0.023809204,1.5811968,-0.03853787
device,544.3234675833335,-0.02375258,1.5812811,-0.038404625
Gesamt_3Arm,544.3238245833335,0.014068425,1.4979162,-0.730703
device,544.3329906250001,-0.023698285,1.5813613,-0.038274407
device,544.3432940000001,-0.023639375,1.581447,-0.03813226
Gesamt_3Arm,544.3446055833334,0.013971224,1.4977579,-0.7307128
device,544.3532372916668,-0.023583004,1.5815268,-0.037991773
device,544.3637045416668,-0.023523191,1.581605,-0.03784011
device,544.3738263333335,-0.023475826,1.5816605,-0.037692606
Gesamt_3Arm,544.3754935833334,0.013971433,1.4977638,-0.73067427
device,544.3839011666668,-0.023429483,1.581712,-0.037543178
device,544.3935565833334,-0.023387,1.5817618,-0.037398517
device,544.4035095000002,-0.023345158,1.5818129,-0.037248284
Gesamt_3Arm,544.4050109166668,0.01397191,1.49777,-0.73063594
device,544.4134992500001,-0.023305163,1.5818636,-0.037095815
device,544.4223820416668,-0.023270324,1.5819081,-0.036958933
device,544.4328607083335,-0.023228437,1.5819597,-0.036798596
Gesamt_3Arm,544.4354185833334,0.013972372,1.497776,-0.7305975
device,544.4431324583335,-0.023188949,1.5820131,-0.036640525
device,544.4525807916668,-0.023154423,1.582066,-0.036493927
device,544.4628377500002,-0.023117954,1.5821264,-0.03634153
Gesamt_3Arm,544.4652171666668,0.013873652,1.4975941,-0.73062587
device,544.4726578750001,-0.023086637,1.5821904,-0.036197126
device,544.4826828750001,-0.02305826,1.582255,-0.03605173
device,544.4930021666668,-0.02303347,1.5823193,-0.03590411
device,544.5025121666667,-0.02301478,1.5823783,-0.03576962
Gesamt_3Arm,544.5040107500001,0.013884395,1.4975991,-0.7305827
device,544.5126765416668,-0.02300112,1.5824405,-0.035630256
device,544.5229011666668,-0.022994503,1.5825016,-0.035492122
Gesamt_3Arm,544.5253227083334,0.013895392,1.4976046,-0.7305387
device,544.5328388333335,-0.022995379,1.5825577,-0.035359718
device,544.5425990000001,-0.023003712,1.5826088,-0.03523147
device,544.5528673750001,-0.023020208,1.582656,-0.035099745
