device,time,x,y,z
device,3863.2075600000007,0.051047385,1.6806165,0.0040751696
device,3863.221762833334,0.051059663,1.6806201,0.003981352
Gesamt_3Arm,3863.2224507083342,0.023622274,1.5681571,-0.68852377
device,3863.2325093333343,0.051069096,1.6806165,0.003907033
device,3863.2422460416674,0.051077306,1.6806089,0.0038357973
device,3863.252753375001,0.051086076,1.6805933,0.003754292
Gesamt_3Arm,3863.258301500001,0.023642778,1.5681603,-0.68862844
device,3863.261715958334,0.051094532,1.6805761,0.0036780834
device,3863.2709991666675,0.05110176,1.6805515,0.0035955391
device,3863.281106750001,0.051111296,1.6805185,0.0034989796
Gesamt_3Arm,3863.2820975416676,0.023662865,1.5681634,-0.68873215
device,3863.291143833334,0.051120758,1.6804769,0.0033956766
device,3863.300836208334,0.05111921,1.6804141,0.0032945871
device,3863.3115459166675,0.051119864,1.6803398,0.0031766891
Gesamt_3Arm,3863.3122184166673,0.023682892,1.5681664,-0.68883467
device,3863.3207472916674,0.05112327,1.6802703,0.0030707458
device,3863.3310487916674,0.051130064,1.6801875,0.0029477219
device,3863.3411488750007,0.05114001,1.6801041,0.0028237104
Gesamt_3Arm,3863.346731583334,0.023813069,1.5681367,-0.68886757
device,3863.3506662916675,0.051152468,1.680026,0.0027047396
device,3863.3610225416674,0.051171005,1.6799471,0.0025740862
device,3863.371156500001,0.05119419,1.6798788,0.0024535656
Gesamt_3Arm,3863.372260833334,0.02383387,1.5681374,-0.68893266
device,3863.3806610416677,0.05122161,1.6798177,0.0023436546
device,3863.3908796666674,0.051257357,1.6797559,0.0022267618
device,3863.4005600416676,0.051298603,1.6797018,0.0021149435
Gesamt_3Arm,3863.4025402916677,0.023854136,1.568138,-0.6889982
device,3863.410569750001,0.051348276,1.679649,0.0020023922
device,3863.4216544166675,0.051413953,1.679592,0.0018811226
device,3863.431305750001,0.051479697,1.6795413,0.0017789602
Gesamt_3Arm,3863.4326597500008,0.023873925,1.5681386,-0.68906164
device,3863.441014958334,0.051552832,1.6794883,0.0016793013
device,3863.450680833334,0.051632702,1.6794343,0.0015819073
device,3863.4609945000007,0.051722527,1.6793797,0.001478672
Gesamt_3Arm,3863.4622039166675,0.02408135,1.5681299,-0.6890874
device,3863.4709815416677,0.051809795,1.6793339,0.0013791661
device,3863.481018000001,0.051904745,1.6792911,0.0012805801
device,3863.490579083334,0.052001953,1.679251,0.0011888742
Gesamt_3Arm,3863.493417833334,0.02410084,1.5681305,-0.68914914
device,3863.5013666250006,0.05211848,1.6792086,0.0010852814
device,3863.511701500001,0.05223608,1.6791701,0.00098598
device,3863.5222998333343,0.052361727,1.6791303,0.00088334084
Gesamt_3Arm,3863.528565333334,0.024097621,1.568127,-0.6893356
device,3863.5326096666677,0.052488506,1.6790873,0.0007792711
device,3863.5421801666675,0.052608788,1.6790416,0.00067687035
device,3863.5519497916675,0.05273015,1.678984,0.00056866213
Gesamt_3Arm,3863.552566083334,0.024285316,1.5681127,-0.6894946
device,3863.5618607083343,0.05285251,1.6789097,0.00045478344
device,3863.5713860416677,0.052955993,1.6788385,0.0003590922
device,3863.581605958334,0.05305904,1.6787262,0.0002528429
