device,time,x,y,z
device,563.5870496250001,0.03436578,1.5528418,-1.6322614
device,563.5902762083334,0.034342103,1.5528387,-1.6322474
device,563.6120410416668,0.03420475,1.5528301,-1.6321603
Gesamt_3Arm,563.6133248333334,0.5527686,1.4459114,-1.2699853
Gesamt_3Arm,563.6144287916668,0.5526724,1.44589,-1.2700329
device,563.6200572083335,0.034160063,1.5528264,-1.6321294
device,563.6319123750001,0.034109287,1.5528178,-1.6320913
device,563.6400477500001,0.0340903,1.552809,-1.632074
Gesamt_3Arm,563.6442509166668,0.5525642,1.4458836,-1.2700998
device,563.6494519166667,0.034071594,1.5527937,-1.6320534
device,563.6597840000002,0.03405291,1.5527709,-1.6320302
device,563.6701616666668,0.034033068,1.5527408,-1.6320074
Gesamt_3Arm,563.6710893750002,0.552459,1.4458774,-1.2701645
device,563.6801942083334,0.03401181,1.5527065,-1.6319859
device,563.6901780416667,0.033987567,1.552669,-1.6319649
device,563.7008556250001,0.033958994,1.5526274,-1.6319441
Gesamt_3Arm,563.7016565000001,0.55235445,1.4458714,-1.2702289
device,563.7105626250001,0.033928942,1.5526009,-1.6319064
device,563.7222133750001,0.03389275,1.5525613,-1.631878
device,563.7304002916668,0.033866815,1.5525354,-1.631861
Gesamt_3Arm,563.7374731666667,0.55238074,1.4459071,-1.2701833
device,563.7396911666668,0.033836797,1.5525106,-1.6318402
device,563.7501774166668,0.033802837,1.5524883,-1.6318151
device,563.7610270833335,0.03376899,1.5524719,-1.6317874
Gesamt_3Arm,563.7617342916668,0.55240107,1.4459112,-1.2701612
device,563.7697078750001,0.033742335,1.5524651,-1.6317625
device,563.7796668333334,0.033710722,1.5524617,-1.6317325
device,563.7906216666668,0.033672422,1.5524607,-1.6316932
Gesamt_3Arm,563.7919502083334,0.5524214,1.4459152,-1.2701393
device,563.8007417083335,0.03363266,1.5524595,-1.6316535
device,563.8109621666667,0.033589885,1.552458,-1.6316082
device,563.8207366666668,0.033547193,1.5524554,-1.6315595
Gesamt_3Arm,563.8214732500002,0.5524416,1.4459192,-1.2701178
device,563.8307002916667,0.033500902,1.5524486,-1.6315051
device,563.8406945833334,0.033452384,1.5524201,-1.6314547
device,563.8508111666667,0.033399023,1.5523868,-1.6313983
Gesamt_3Arm,563.8514828750001,0.55245,1.4459574,-1.2700615
device,563.8609092083335,0.03334286,1.5523521,-1.6313361
device,563.8706963750001,0.033286117,1.5523187,-1.6312693
device,563.8811353750001,0.03322389,1.5522828,-1.631189
Gesamt_3Arm,563.8818737500001,0.55246973,1.4459612,-1.270041
device,563.8908161250001,0.03316427,1.5522491,-1.6311065
device,563.9005691250002,0.033102263,1.552213,-1.6310155
device,563.9109213333335,0.033035778,1.5521772,-1.6309128
Gesamt_3Arm,563.9161129166667,0.5524332,1.4459416,-1.2700492
device,563.9209385000001,0.03296846,1.5521357,-1.6308004
device,563.9301552500001,0.032905936,1.552092,-1.6306881
device,563.9398803750001,0.03283822,1.5520347,-1.6305578
Gesamt_3Arm,563.9411477083335,0.5523981,1.4459224,-1.270057
device,563.9506807500002,0.032764386,1.5519657,-1.6303982
device,563.9604171666668,0.032697298,1.551902,-1.6302392
device,563.9706004166668,0.03263011,1.5518392,-1.6300596
Gesamt_3Arm,563.9731106250001,0.5523486,1.4458965,-1.2700211
device,563.9805737500001,0.032562934,1.5517789,-1.629863
device,563.9899777083334,0.032499228,1.5517225,-1.629666
device,564.0005745833334,0.032428257,1.5516605,-1.6294346
Gesamt_3Arm,564.0014370833335,0.55231404,1.4458783,-1.2700291
device,564.0106222916668,0.032357626,1.5516022,-1.6291976
device,564.0206453333335,0.03228472,1.5515473,-1.628947
device,564.0309825833334,0.03220493,1.5514956,-1.6286759
Gesamt_3Arm,564.0316116250001,0.5522802,1.4458603,-1.2700373
device,564.0408907083334,0.032122027,1.5514504,-1.6284039
device,564.0507442083334,0.032030758,1.551406,-1.6281234
device,564.0606452083334,0.03193117,1.5513656,-1.6278361
Gesamt_3Arm,564.0631155416668,0.55224806,1.4458427,-1.2700444
device,564.0698047500001,0.031828932,1.5513322,-1.6275561
device,564.0795290000001,0.031715617,1.551302,-1.6272581
device,564.0898385833334,0.031586282,1.5512762,-1.6269215
Gesamt_3Arm,564.0963775416668,0.552144,1.4458966,-1.2700341
device,564.0987414166668,0.03147463,1.5512655,-1.626621
device,564.1087762500001,0.031357966,1.5512844,-1.6262876
device,564.1187562500002,0.031250335,1.5513177,-1.6259414
Gesamt_3Arm,564.1214470000001,0.5520869,1.445882,-1.2700884
device,564.1292072500001,0.031147592,1.5513642,-1.625562
device,564.1391258750001,0.031057656,1.551417,-1.6251777
device,564.1495136666667,0.030970063,1.5514761,-1.6247543
Gesamt_3Arm,564.1514872500002,0.55203146,1.4458673,-1.2701414
device,564.1590381250002,0.030894421,1.5515283,-1.6243471
device,564.1690951666668,0.030818276,1.5515752,-1.623907
device,564.1794453750001,0.030745365,1.5516138,-1.6234376
Gesamt_3Arm,564.1817245833334,0.55197597,1.4458529,-1.2701938
device,564.1892976666668,0.030685168,1.55164,-1.6229638
device,564.1993862500001,0.030628532,1.5516565,-1.6224611
device,564.2096726666667,0.030575126,1.5516627,-1.6219318
Gesamt_3Arm,564.2121457083334,0.5518983,1.4458021,-1.2702074
device,564.2193489166668,0.030529365,1.5516572,-1.6214211
device,564.2295142500001,0.030486248,1.5516402,-1.6208698
device,564.2396110000001,0.030448347,1.551614,-1.6203084
Gesamt_3Arm,564.2430297500001,0.5518445,1.4457879,-1.2702587
device,564.2495967083335,0.03041793,1.5515832,-1.6197456
device,564.2593864583334,0.030394822,1.5515509,-1.619186
device,564.2692559166668,0.030380912,1.5515193,-1.618608
device,564.2794684166668,0.030372083,1.5514882,-1.6180234
Gesamt_3Arm,564.2802412916668,0.5517304,1.4457465,-1.2703518
device,564.2893075000002,0.03036803,1.551458,-1.6174486
device,564.2996465416668,0.03036508,1.5514255,-1.6168425
Gesamt_3Arm,564.3017954166668,0.5516166,1.4457054,-1.2704442
device,564.3093670416667,0.030362748,1.5513965,-1.6162633
device,564.3193589166668,0.030360982,1.551368,-1.6156616
device,564.3295192500001,0.030363359,1.5513431,-1.615041
Gesamt_3Arm,564.3352624583334,0.55151224,1.445768,-1.270638
device,564.3393919166668,0.030371606,1.551324,-1.6144301
device,564.3491200416668,0.030389111,1.5513134,-1.6138167
device,564.3591479583334,0.030418113,1.551313,-1.6131797
Gesamt_3Arm,564.3627886666668,0.55139977,1.4457276,-1.2707295
device,564.3689259583334,0.030459069,1.551321,-1.6125659
device,564.3787865000002,0.030515786,1.5513372,-1.6119399
device,564.3891989166668,0.03059331,1.5513601,-1.6113032
Gesamt_3Arm,564.3922705000001,0.5512884,1.4456873,-1.2708206
device,564.3994197083334,0.030678228,1.5513825,-1.6106812
device,564.4093225000001,0.030767828,1.5514041,-1.6100773
device,564.4195494166668,0.03086581,1.551424,-1.6094716
Gesamt_3Arm,564.4234605416668,0.5512127,1.4457439,-1.271101
device,564.4294831250002,0.03097096,1.5514424,-1.6088793
device,564.4390622500001,0.03108117,1.5514606,-1.6083181
device,564.4494526666668,0.031208329,1.5514753,-1.6077278
device,564.4592939583334,0.031338945,1.5514817,-1.6071825
Gesamt_3Arm,564.4600580833335,0.55102646,1.44572,-1.2712009
device,564.4688566666667,0.031476744,1.5514755,-1.6066644
device,564.4789400416668,0.03163024,1.5514536,-1.6061424
Gesamt_3Arm,564.4817372916668,0.55084115,1.4456958,-1.2713002
device,564.4889513333335,0.03178872,1.5514122,-1.605647
device,564.4993632916668,0.03196183,1.5513513,-1.6051636
device,564.5097399166668,0.032145955,1.5512717,-1.6047102
Gesamt_3Arm,564.5130999166668,0.55066735,1.4456534,-1.2715962
device,564.5194063333334,0.03232687,1.5511837,-1.6043217
device,564.5290361250002,0.032515705,1.5510842,-1.603971
device,564.5395650833335,0.032728605,1.5509647,-1.6036375
Gesamt_3Arm,564.5416892083334,0.5504822,1.4456294,-1.2716955
device,564.5493504583335,0.032938614,1.5508462,-1.6033728
device,564.5592450000001,0.033163927,1.5507246,-1.6031535
device,564.5688607916668,0.033398338,1.5506108,-1.602986
