device,time,x,y,z
device,2673.741529000001,-0.0068066595,1.4893575,-0.113411985
device,2673.7451798750008,-0.0068075536,1.4893537,-0.11343189
device,2673.755617541667,-0.006813109,1.4893408,-0.113482475
Gesamt_3Arm,2673.7567605833337,0.018357813,1.4386559,-0.8194052
device,2673.7653618750005,-0.0068148375,1.4893228,-0.113530636
device,2673.7755136666674,-0.0068119764,1.4892995,-0.113584876
device,2673.785451375001,-0.006811738,1.489279,-0.11363816
Gesamt_3Arm,2673.7867390000006,0.01835388,1.4386505,-0.8194004
device,2673.7956863750005,-0.0068146586,1.4892583,-0.11369264
device,2673.805374875001,-0.006819725,1.4892381,-0.11374295
device,2673.8155722500005,-0.006828785,1.4892199,-0.113793254
Gesamt_3Arm,2673.8173303333338,0.018350005,1.4386451,-0.8193935
device,2673.825935833334,-0.006840015,1.4892008,-0.113846146
device,2673.8353041250007,-0.006851256,1.4891851,-0.113891125
device,2673.8462359166674,-0.0068648933,1.4891694,-0.113942824
Gesamt_3Arm,2673.846843833334,0.018346429,1.4386399,-0.8193885
device,2673.856041458334,-0.00687592,1.4891595,-0.1139886
device,2673.8661537916673,-0.006884694,1.4891493,-0.114031196
device,2673.876004458334,-0.006892264,1.4891416,-0.11407244
Gesamt_3Arm,2673.8766588750004,0.018342853,1.4386348,-0.8193828
device,2673.886140333334,-0.00689553,1.4891328,-0.11411246
device,2673.8960802500005,-0.0068956492,1.4891219,-0.11414679
device,2673.9065075416675,-0.0068904757,1.4891102,-0.11418009
Gesamt_3Arm,2673.9127261250005,0.018342316,1.4386319,-0.81937444
device,2673.916461541667,-0.00688231,1.4890993,-0.11420822
device,2673.9258495833337,-0.006870806,1.4890919,-0.1142354
device,2673.935993458334,-0.006856966,1.4890864,-0.11426147
Gesamt_3Arm,2673.936862208334,0.018341899,1.4386294,-0.81936896
device,2673.946797041667,-0.0068393946,1.489083,-0.11428964
device,2673.9560047083337,-0.0068238974,1.4890828,-0.11431277
device,2673.9567391250007,-0.006822574,1.4890829,-0.11431476
device,2673.9660673333337,-0.006804442,1.4890836,-0.114337124
Gesamt_3Arm,2673.966880958334,0.018341303,1.4386265,-0.8193587
device,2673.9760161250006,-0.006783342,1.489087,-0.11436144
device,2673.9859942916673,-0.006760657,1.489091,-0.114383936
device,2673.9961905000005,-0.0067350864,1.4890946,-0.114406824
Gesamt_3Arm,2673.996622083334,0.018340647,1.4386239,-0.81935275
device,2674.006255958334,-0.006708622,1.4890977,-0.11442983
device,2674.016054833334,-0.006680417,1.4890988,-0.114452206
device,2674.0261701250006,-0.0066491608,1.4890982,-0.11447557
Gesamt_3Arm,2674.026810833334,0.018340409,1.4386215,-0.8193449
device,2674.0356390000006,-0.0066188574,1.4890959,-0.11449742
device,2674.0455768750007,-0.0065762997,1.4890964,-0.114519715
device,2674.056089666667,-0.006527054,1.4890945,-0.114542685
Gesamt_3Arm,2674.056974750001,0.018339634,1.438619,-0.819337
device,2674.065944291667,-0.0064798594,1.4890912,-0.114561915
device,2674.0758567916673,-0.0064303875,1.4890873,-0.11458027
device,2674.086958708334,-0.006374955,1.489081,-0.11459708
device,2674.096683833334,-0.006323755,1.4890743,-0.11461115
Gesamt_3Arm,2674.097491291667,0.018327057,1.4386164,-0.81931674
device,2674.1062898750006,-0.0062718987,1.4890702,-0.11462569
device,2674.116248583334,-0.00621711,1.4890673,-0.1146396
Gesamt_3Arm,2674.1168362500007,0.018314362,1.4386141,-0.8192991
device,2674.1262732083337,-0.006160056,1.4890676,-0.11465446
device,2674.135940458334,-0.006102681,1.4890704,-0.11467028
device,2674.1463587500007,-0.006037986,1.4890755,-0.11468784
Gesamt_3Arm,2674.1470764166675,0.018301487,1.4386115,-0.81927884
device,2674.1561111250007,-0.0059762,1.489085,-0.11470413
device,2674.166263708334,-0.0059102057,1.4890971,-0.11472138
device,2674.176624333334,-0.005840826,1.4891112,-0.114740215
Gesamt_3Arm,2674.177268041667,0.018288791,1.4386092,-0.8192605
device,2674.1862543750008,-0.005774498,1.4891235,-0.114758015
device,2674.196110291667,-0.005705714,1.4891372,-0.11477685
device,2674.2061557500006,-0.005633414,1.4891527,-0.11479926
Gesamt_3Arm,2674.2068185000007,0.018276095,1.4386067,-0.81924117
device,2674.215839333334,-0.005564809,1.4891707,-0.11482155
device,2674.2246494583337,-0.005502045,1.4891925,-0.11484444
device,2674.234584208334,-0.0054316996,1.4892216,-0.11487337
Gesamt_3Arm,2674.237010708334,0.0182634,1.4386044,-0.81922185
device,2674.2460053750005,-0.0053519486,1.4892635,-0.11491104
device,2674.254754875001,-0.0052886605,1.4893013,-0.11494362
device,2674.2653804583338,-0.005215573,1.4893543,-0.11498483
device,2674.2751446250004,-0.0051473854,1.4894127,-0.11502906
Gesamt_3Arm,2674.2758888750004,0.018261015,1.4386015,-0.81919277
device,2674.284937833334,-0.0050795553,1.4894793,-0.11507889
