device,time,x,y,z
device,3915.9895586666676,-0.50051653,1.6665722,-0.38175958
Gesamt_gross,3915.990471250001,-0.3462491,1.5195173,-1.0421752
device,3915.993722875001,-0.5010289,1.6665688,-0.38176024
device,3916.0052924166675,-0.5024208,1.6665545,-0.3817613
device,3916.0141838333343,-0.5034566,1.6665413,-0.38176242
Gesamt_gross,3916.0154915000007,-0.3465618,1.5194132,-1.0424101
device,3916.025152500001,-0.5047159,1.6665224,-0.38176364
device,3916.034982583334,-0.5057968,1.6665058,-0.38176352
device,3916.0453382916676,-0.50695246,1.6664828,-0.38176972
Gesamt_gross,3916.050807958334,-0.34651124,1.5194094,-1.042452
device,3916.054692625001,-0.5079702,1.6664542,-0.3817923
device,3916.0647226250007,-0.509035,1.6664243,-0.3818137
device,3916.074868875001,-0.5100899,1.6663936,-0.3818297
Gesamt_gross,3916.075688208334,-0.34646094,1.519406,-1.042491
device,3916.084855125001,-0.5111172,1.6663649,-0.3818413
device,3916.095011000001,-0.51215005,1.6663345,-0.38184893
device,3916.1051642916677,-0.5131505,1.6663038,-0.38185167
Gesamt_gross,3916.1057176666677,-0.3464116,1.5194027,-1.0425284
device,3916.114854958334,-0.51412916,1.6662732,-0.3818524
device,3916.1243044166677,-0.51505935,1.6662412,-0.38185108
device,3916.1349545000007,-0.5160916,1.6662184,-0.3818525
Gesamt_gross,3916.135870250001,-0.3468094,1.5192553,-1.0428048
device,3916.1444484583344,-0.5170157,1.6661956,-0.381852
device,3916.154831333334,-0.5180159,1.66617,-0.38184988
device,3916.1647023333344,-0.5189903,1.6661428,-0.38184702
Gesamt_gross,3916.1662302916675,-0.34676194,1.5192516,-1.0428452
device,3916.1747702916673,-0.51998067,1.6661122,-0.38184237
device,3916.185066000001,-0.52099895,1.6660794,-0.3818372
device,3916.1858857916677,-0.5210876,1.6660757,-0.38183618
device,3916.1950599166676,-0.52199715,1.6660494,-0.3818334
Gesamt_gross,3916.1959254583344,-0.34671474,1.5192485,-1.0428813
device,3916.2043885000007,-0.5229442,1.666027,-0.38183087
device,3916.2144402500007,-0.52395856,1.6660084,-0.38183075
device,3916.2243372916673,-0.5249777,1.6659946,-0.38183302
Gesamt_gross,3916.231607625001,-0.34708965,1.519108,-1.0432023
device,3916.2346156666677,-0.52605885,1.6659808,-0.38183326
device,3916.244527500001,-0.52706695,1.6659634,-0.38182956
device,3916.254875250001,-0.52813405,1.6659397,-0.3818213
Gesamt_gross,3916.2561093333343,-0.34702694,1.5190946,-1.0432677
device,3916.264938875001,-0.5291853,1.6659101,-0.38180822
device,3916.274845208334,-0.53023857,1.6658736,-0.38178998
device,3916.2854959166675,-0.53140724,1.6658294,-0.38176656
Gesamt_gross,3916.2858941666677,-0.34696388,1.5190816,-1.0433327
device,3916.2945010416674,-0.53239787,1.6657898,-0.38174385
device,3916.3043270000007,-0.5334902,1.6657443,-0.381716
device,3916.314274333334,-0.5346161,1.6656961,-0.38168567
Gesamt_gross,3916.315499250001,-0.3469019,1.5190688,-1.0433952
device,3916.324718875001,-0.5358459,1.6656423,-0.38165185
device,3916.334797708334,-0.5370294,1.6655927,-0.3816226
device,3916.3449454166675,-0.538234,1.6655478,-0.38160017
Gesamt_gross,3916.3459770416675,-0.34732044,1.5188783,-1.0437734
device,3916.3546669583343,-0.5394106,1.6655064,-0.38158712
device,3916.3647905000007,-0.54061955,1.6654673,-0.38158506
device,3916.3748976666675,-0.5418471,1.6654344,-0.38159972
Gesamt_gross,3916.3758934166676,-0.34726107,1.5188655,-1.043836
device,3916.385076583334,-0.543056,1.6654109,-0.3816322
device,3916.3945662083343,-0.5442308,1.6653968,-0.3816888
device,3916.4043366666674,-0.54541785,1.6653968,-0.38179186
