device,time,x,y,z
device,584.7770909583335,0.14593527,1.7124681,-0.19945742
device,584.7781124583335,0.14592966,1.7124668,-0.19946565
device,584.7917812916668,0.14586002,1.7124507,-0.19957054
Gesamt_gross,584.7929730833334,0.057410598,1.5598156,-0.85867
device,584.8005824166668,0.14581788,1.7124392,-0.1996342
device,584.8107014583335,0.14576912,1.7124233,-0.19971251
device,584.8203228750001,0.145728,1.7124076,-0.19978194
Gesamt_gross,584.8208669583335,0.057403147,1.5598115,-0.8586643
device,584.8304777500001,0.14568925,1.7123898,-0.19985211
device,584.8402922500002,0.14565475,1.7123817,-0.1999114
device,584.8501299166668,0.14562596,1.712376,-0.19997112
device,584.8598049583335,0.14560139,1.7123733,-0.20002949
Gesamt_gross,584.8605029583334,0.057395637,1.5598075,-0.85863197
device,584.8696409166668,0.14558059,1.7123717,-0.20008814
device,584.8803882916668,0.14556098,1.7123759,-0.200153
Gesamt_gross,584.8812357916668,0.057388365,1.5598037,-0.85859966
device,584.8907887083335,0.14554673,1.7123802,-0.20021582
device,584.9001771666668,0.1455375,1.7123835,-0.20027256
device,584.9106682500001,0.14553106,1.712384,-0.20033681
Gesamt_gross,584.9113181666668,0.057380915,1.5597999,-0.8585664
device,584.9203632916668,0.14553118,1.7123802,-0.2003951
device,584.9305313333334,0.145534,1.7123703,-0.2004544
device,584.9403728333334,0.14553961,1.7123568,-0.20050909
Gesamt_gross,584.9411937083335,0.057373464,1.5597959,-0.8585346
device,584.9503016250002,0.14554608,1.7123404,-0.20056152
device,584.9602258333334,0.14555639,1.7123213,-0.20060956
device,584.9703401250001,0.14557065,1.7123,-0.2006561
device,584.9710512083335,0.14557183,1.7122985,-0.20065892
Gesamt_gross,584.9713601250002,0.057366192,1.559792,-0.8585011
device,584.9793877083334,0.14558513,1.7122806,-0.20069294
device,584.9893952916668,0.14560309,1.7122606,-0.2007295
device,584.9991457500001,0.14562298,1.7122413,-0.20076005
Gesamt_gross,585.0008087083335,0.05735874,1.5597881,-0.8584682
device,585.0091668333334,0.14564604,1.7122242,-0.20078552
device,585.0191340416668,0.14567322,1.7122087,-0.20080817
device,585.0293840416668,0.14570434,1.7121967,-0.20082812
Gesamt_gross,585.0373237083335,0.057349324,1.5597832,-0.8584455
device,585.0395296666668,0.1457389,1.7121885,-0.20084512
device,585.0494370833335,0.1457755,1.712184,-0.20085931
device,585.0602193750001,0.14582075,1.7121805,-0.20087199
Gesamt_gross,585.0609054583334,0.057340145,1.5597785,-0.85842144
device,585.0703520833334,0.14586714,1.7121793,-0.2008817
device,585.0799239583334,0.14591807,1.7121787,-0.20088673
device,585.0906053333334,0.14597729,1.7121816,-0.20089115
Gesamt_gross,585.0910643333334,0.057331204,1.5597739,-0.85839653
device,585.0999561666667,0.14603338,1.7121851,-0.20089327
device,585.1101815833334,0.14608711,1.7121964,-0.20088983
device,585.1200935000002,0.14614347,1.7122086,-0.20088507
Gesamt_gross,585.1208125833334,0.057322145,1.5597692,-0.8583728
device,585.1295841250002,0.14619912,1.712218,-0.20087795
device,585.1393950833335,0.14626044,1.7122254,-0.20086789
device,585.1506184166668,0.1463325,1.7122337,-0.2008537
Gesamt_gross,585.1515862916668,0.057312846,1.5597644,-0.8583504
device,585.1601056666668,0.14639474,1.7122403,-0.20083837
device,585.1700497916668,0.14646001,1.7122473,-0.20082049
device,585.1801488750001,0.14652961,1.712255,-0.20079875
Gesamt_gross,585.1807344583335,0.057304025,1.5597596,-0.8583255
device,585.1901407083335,0.14659685,1.7122629,-0.20077264
device,585.1997992500002,0.14666194,1.7122726,-0.20074415
device,585.2103315000002,0.14673105,1.7122848,-0.20071019
Gesamt_gross,585.2170600000002,0.05729127,1.5597538,-0.85830116
device,585.2201299166668,0.1467964,1.7122978,-0.2006756
device,585.2303686666668,0.1468618,1.7123117,-0.20063643
device,585.2406424583335,0.1469239,1.7123299,-0.20059395
Gesamt_gross,585.2423650833334,0.05727893,1.5597478,-0.8582772
device,585.2501909166668,0.14697993,1.7123475,-0.20055175
device,585.2601867083334,0.14703615,1.7123696,-0.2005047
device,585.2691142916668,0.14708498,1.7123892,-0.20045735
Gesamt_gross,585.2708555000002,0.057266533,1.5597419,-0.8582536
device,585.2791005416668,0.14713734,1.7124112,-0.20040286
device,585.2888949166668,0.14718598,1.712431,-0.2003442
device,585.2996425833335,0.14723587,1.7124527,-0.20027745
Gesamt_gross,585.3047431250001,0.057254314,1.5597358,-0.8582289
device,585.3096623750001,0.14727968,1.7124722,-0.20021057
device,585.3187901666668,0.14731723,1.7124908,-0.20014751
device,585.3292265833335,0.14735678,1.7125127,-0.20007528
Gesamt_gross,585.3310454583335,0.057241917,1.55973,-0.85820436
device,585.3393904166668,0.14739187,1.7125336,-0.20000522
device,585.3495183750001,0.14742495,1.7125517,-0.19993155
device,585.3596675416668,0.14745641,1.7125691,-0.19985628
Gesamt_gross,585.3619067500001,0.05722958,1.5597242,-0.8581804
device,585.3688884583335,0.14748193,1.7125854,-0.19978599
device,585.3789637500001,0.14750534,1.7125969,-0.19969928
device,585.3796822916668,0.1475068,1.7125981,-0.19969214
device,585.3885412083334,0.14752471,1.7126079,-0.19961536
Gesamt_gross,585.3972205833335,0.057231486,1.5597231,-0.8581575
device,585.3983602916668,0.14754273,1.7126198,-0.19952993
device,585.4086920000001,0.14755559,1.7126318,-0.19943845
device,585.4192480833335,0.14756353,1.7126436,-0.1993436
Gesamt_gross,585.4214371666668,0.05723363,1.5597222,-0.8581327
device,585.4295472916668,0.1475665,1.7126555,-0.19926047
device,585.4384643333335,0.14756401,1.7126681,-0.19917469
device,585.4485196250001,0.147556,1.712681,-0.19909024
Gesamt_gross,585.4510808750001,0.0572356,1.5597211,-0.85810983
device,585.4583990000001,0.14754242,1.7126935,-0.19900906
device,585.4685726666668,0.14752525,1.7127066,-0.19893003
device,585.4788352500001,0.14750363,1.7127175,-0.19885175
Gesamt_gross,585.4814276250002,0.057237267,1.5597202,-0.8580874
device,585.4888036250002,0.14747925,1.7127286,-0.19877867
device,585.4987941250001,0.14745277,1.7127385,-0.19870543
device,585.5090142916667,0.14742394,1.7127458,-0.19862966
Gesamt_gross,585.5133187083335,0.057239532,1.5597194,-0.8580625
device,585.5186470416668,0.14739424,1.7127514,-0.19855928
device,585.5285954583335,0.14736176,1.7127547,-0.1984868
device,585.5389597916668,0.14732641,1.712755,-0.19840956
Gesamt_gross,585.5416628333335,0.05724126,1.5597183,-0.8580409
device,585.5486294166668,0.14729261,1.7127545,-0.19833589
device,585.5582969583335,0.14725834,1.7127504,-0.1982621
device,585.5683594583335,0.14722121,1.7127447,-0.19818556
Gesamt_gross,585.5774255833335,0.05723828,1.5597187,-0.8580092
device,585.5785517083334,0.14718086,1.7127345,-0.19810653
device,585.5888512083335,0.14713699,1.7127221,-0.19802594
device,585.5990182083335,0.14709175,1.7127101,-0.1979456
Gesamt_gross,585.6049585833334,0.05723524,1.5597193,-0.8579769
device,585.6085656250001,0.14704688,1.712699,-0.1978691
device,585.6186412083334,0.14699765,1.7126869,-0.19778685
device,585.6286983750001,0.14694662,1.7126753,-0.19770138
Gesamt_gross,585.6326079583334,0.05723244,1.5597199,-0.85794485
device,585.6384365833335,0.14689758,1.7126672,-0.19761528
device,585.6484877916668,0.14684895,1.7126607,-0.19752444
device,585.6586536250002,0.14680082,1.7126629,-0.19742489
Gesamt_gross,585.6614431250001,0.0572294,1.5597204,-0.85791314
device,585.6685817083335,0.14675486,1.7126685,-0.19732463
device,585.6795859583335,0.14670455,1.7126815,-0.19721067
device,585.6809177083335,0.14669865,1.7126834,-0.19719648
device,585.6879742500001,0.14666672,1.712695,-0.19712357
Gesamt_gross,585.6916439166667,0.0572263,1.5597208,-0.85788345
device,585.6978517083335,0.1466229,1.7127109,-0.1970197
device,585.7078490416668,0.14657915,1.7127285,-0.19691396
device,585.7178825833334,0.14653656,1.7127452,-0.19680525
Gesamt_gross,585.7209067083335,0.05722332,1.5597212,-0.8578515
device,585.7279220000001,0.14649773,1.7127593,-0.19669783
device,585.7378152083335,0.14645648,1.7127738,-0.19658983
device,585.7479482083335,0.1464127,1.71279,-0.19648291
