device,time,x,y,z
device,2708.1053713750007,-0.060258217,1.6856568,-0.110904545
device,2708.1065677500005,-0.06025762,1.6856495,-0.11091243
Gesamt_gross,2708.1070220416673,-0.039277077,1.5689503,-0.80072886
device,2708.1166461250004,-0.060248204,1.6855826,-0.110978715
device,2708.1270213750004,-0.060233593,1.6854999,-0.111047685
Gesamt_gross,2708.1281095833338,-0.039273977,1.568949,-0.8007106
device,2708.1371202500004,-0.06021607,1.6854032,-0.11111742
device,2708.146684416667,-0.060198322,1.6853006,-0.111184336
device,2708.1563831250005,-0.06017697,1.6851816,-0.11125479
Gesamt_gross,2708.157740458334,-0.03927064,1.5689476,-0.80069786
device,2708.167274000001,-0.06015677,1.6850376,-0.111339286
device,2708.1769621250005,-0.060145736,1.6848941,-0.111420736
device,2708.1884830833337,-0.06014824,1.6847045,-0.11151977
Gesamt_gross,2708.1903073333337,-0.0392673,1.5689462,-0.80068326
device,2708.197448333334,-0.06016396,1.6845387,-0.1115988
device,2708.207277208334,-0.0602002,1.684345,-0.11168708
device,2708.217497583334,-0.060259104,1.6841323,-0.111778274
Gesamt_gross,2708.218174750001,-0.039209604,1.5689702,-0.8006464
device,2708.227357916667,-0.060335517,1.6839235,-0.111866266
device,2708.2370901250006,-0.060428128,1.6837167,-0.11195087
device,2708.247066583334,-0.060547113,1.6834904,-0.11203894
Gesamt_gross,2708.253692708334,-0.039209247,1.5689737,-0.8006202
device,2708.257293333334,-0.060689397,1.6832628,-0.11212
device,2708.2668834583337,-0.06084151,1.6830591,-0.112192765
device,2708.277141333334,-0.061021075,1.6828605,-0.11226723
Gesamt_gross,2708.2780237916672,-0.03920901,1.5689769,-0.80059564
device,2708.287021458334,-0.061212897,1.6826895,-0.11233564
device,2708.2967315000005,-0.06141925,1.6825438,-0.11240292
device,2708.3071465000007,-0.06165874,1.6824217,-0.11247498
Gesamt_gross,2708.3079961250005,-0.03920889,1.5689802,-0.80056936
device,2708.316388333334,-0.06188965,1.6823528,-0.11254713
device,2708.326282333334,-0.06214816,1.6823263,-0.11263369
device,2708.3363758750006,-0.062434793,1.6823485,-0.11273799
Gesamt_gross,2708.3375873750006,-0.039103508,1.5690936,-0.80050915
