device,time,x,y,z
device,1716.5320775416671,0.19221878,1.5407646,-1.6139771
device,1716.5328851250003,0.19221596,1.5407684,-1.613972
Gesamt_gross,1716.5346693750005,0.72279984,1.4384179,-1.2744802
device,1716.544900541667,0.19218597,1.5408248,-1.6139
device,1716.553875166667,0.19216764,1.5408698,-1.6138382
Gesamt_gross,1716.5540710000005,0.7230173,1.4384005,-1.2744988
device,1716.5650538333336,0.19214807,1.5409204,-1.6137525
device,1716.5743740833336,0.19213606,1.5409596,-1.6136713
Gesamt_gross,1716.5753602500004,0.7231124,1.4384077,-1.2744402
device,1716.5850537083338,0.19212294,1.5409958,-1.6135702
device,1716.5941878333338,0.19211072,1.5410197,-1.6134746
device,1716.6040302083336,0.19209726,1.5410385,-1.6133605
Gesamt_gross,1716.6050442500004,0.7232089,1.4384148,-1.2743807
device,1716.6139197500004,0.192083,1.5410521,-1.613238
device,1716.6234175000004,0.19206955,1.5410609,-1.613111
device,1716.6347177500004,0.19204584,1.5410706,-1.6129541
Gesamt_gross,1716.635285041667,0.72330403,1.4384217,-1.2743222
device,1716.6448413750004,0.19200245,1.5410758,-1.6128154
device,1716.6540605416671,0.19196306,1.5410805,-1.6126827
device,1716.663787541667,0.19192377,1.5410855,-1.612537
Gesamt_gross,1716.665613166667,0.7234853,1.4384283,-1.2743243
device,1716.6752681250005,0.19188246,1.5410981,-1.6123596
device,1716.6839194583338,0.19185421,1.5411117,-1.6122212
device,1716.6932030833336,0.19182795,1.541129,-1.6120682
device,1716.7035706250003,0.19180083,1.5411465,-1.6118947
Gesamt_gross,1716.7040988750005,0.72357017,1.4384422,-1.2742652
device,1716.7143377500004,0.19177498,1.5411625,-1.6117113
device,1716.724158166667,0.19175334,1.5411701,-1.6115375
Gesamt_gross,1716.7249775833336,0.72365415,1.4384559,-1.2742066
device,1716.7341587083338,0.19173443,1.5411763,-1.611355
device,1716.7446272083337,0.19171423,1.5411898,-1.6111546
device,1716.7538243750005,0.1916926,1.5412112,-1.6109643
Gesamt_gross,1716.7548231250005,0.7237371,1.4384694,-1.2741487
device,1716.765022041667,0.19165689,1.5412505,-1.610712
device,1716.7733732500003,0.19161892,1.5412906,-1.6105067
device,1716.783306416667,0.19156003,1.5413499,-1.6102433
Gesamt_gross,1716.7850529166672,0.72393245,1.4384823,-1.2741697
device,1716.793285041667,0.19148472,1.5414248,-1.6099576
device,1716.8031904583338,0.19139037,1.5415156,-1.6096524
device,1716.8134390416672,0.19127311,1.5416217,-1.6093109
Gesamt_gross,1716.8144747083338,0.7240116,1.4384955,-1.2741145
device,1716.8229742916672,0.1911455,1.5417329,-1.6089648
device,1716.8332295416672,0.19099012,1.5418767,-1.6085533
device,1716.8442697083337,0.19079988,1.5420669,-1.6080515
Gesamt_gross,1716.8447919583336,0.72420084,1.4384857,-1.2741418
device,1716.854098166667,0.19061613,1.5422559,-1.6075724
device,1716.8632837083337,0.19041666,1.5424615,-1.6070526
device,1716.8751795833336,0.19014551,1.5427357,-1.6063576
device,1716.8842413333336,0.18992533,1.5429549,-1.6058055
Gesamt_gross,1716.8847619583337,0.72440743,1.4384826,-1.274103
device,1716.8946878333338,0.18966262,1.5432147,-1.6051558
device,1716.9037525833337,0.1894262,1.543439,-1.6045822
Gesamt_gross,1716.905028791667,0.72415334,1.4384516,-1.2745186
device,1716.9133023333336,0.18917355,1.543672,-1.603978
device,1716.924678166667,0.18886803,1.5439402,-1.6032878
device,1716.935319666667,0.18858814,1.5441865,-1.6026517
Gesamt_gross,1716.9359003333336,0.7238052,1.4384689,-1.2748096
device,1716.9431529583337,0.18838894,1.5443718,-1.6021874
device,1716.9556980833338,0.18808907,1.5446721,-1.6014704
device,1716.963699541667,0.18791148,1.54487,-1.601026
Gesamt_gross,1716.9647535000004,0.724389,1.438335,-1.2749678
device,1716.9742081250004,0.18769552,1.5451295,-1.600468
device,1716.985057541667,0.18749039,1.5453932,-1.5999209
device,1716.9933555000005,0.1873473,1.5455927,-1.5995225
Gesamt_gross,1716.994652916667,0.7251657,1.4382305,-1.274803
device,1717.0032643333336,0.18719082,1.545827,-1.5990748
device,1717.0139484583337,0.18704528,1.5460759,-1.5986269
device,1717.0251985000004,0.18692301,1.5463413,-1.5981902
Gesamt_gross,1717.025729541667,0.72600734,1.4380789,-1.2747499
device,1717.033013291667,0.186858,1.5465298,-1.5979104
device,1717.044281041667,0.18679522,1.5468072,-1.597541
device,1717.0522772083336,0.18677148,1.5470078,-1.5973033
device,1717.0635530000004,0.1867668,1.5472928,-1.5970051
Gesamt_gross,1717.0644449583338,0.7266366,1.4379652,-1.2745957
device,1717.0740465000003,0.1867881,1.5475605,-1.5967711
device,1717.083215041667,0.18682608,1.5478042,-1.5966
Gesamt_gross,1717.0847093333336,0.72723246,1.4378575,-1.2744309
device,1717.0936936250005,0.18688543,1.5480846,-1.5964556
device,1717.1026559166671,0.1869561,1.5483302,-1.5963719
device,1717.1132700000003,0.18706639,1.548638,-1.5963206
Gesamt_gross,1717.1147923333338,0.7278499,1.4377227,-1.2743316
device,1717.123795916667,0.18720494,1.5489628,-1.5963243
