device,time,x,y,z
device,1150.8489874583336,-0.041455418,1.7032375,0.08792889
device,1150.8637573333335,-0.041231465,1.7032557,0.087855786
Gesamt_gross,1150.864053666667,-0.13593689,1.6108501,0.7773776
device,1150.873664166667,-0.04107688,1.7032646,0.08781716
Gesamt_gross,1150.8744080000004,-0.13594066,1.6108534,0.777385
device,1150.8824892083335,-0.0409158,1.7032615,0.08780208
device,1150.8928628750002,-0.040727705,1.7032545,0.08779007
device,1150.9036875833335,-0.040526003,1.7032435,0.08778274
Gesamt_gross,1150.904227041667,-0.13594429,1.6108568,0.7773926
device,1150.9143661250002,-0.040329825,1.7032336,0.08778295
device,1150.9236271250002,-0.040155232,1.7032247,0.0877893
device,1150.9331027083335,-0.03997625,1.7032166,0.08780047
Gesamt_gross,1150.9353785833337,-0.13594773,1.6108602,0.7773992
device,1150.9421498333336,-0.039804578,1.703209,0.087818146
device,1150.954508291667,-0.039569438,1.7031972,0.08785039
device,1150.9642671250003,-0.039376676,1.7031877,0.08788425
Gesamt_gross,1150.964947291667,-0.13595194,1.610862,0.7774079
device,1150.9729322083335,-0.039197724,1.7031757,0.0879198
device,1150.983702416667,-0.038971126,1.7031605,0.087974906
device,1150.9936283750003,-0.038760453,1.7031449,0.08803493
Gesamt_gross,1150.999134416667,-0.13595279,1.6108613,0.77741504
device,1151.0022668333336,-0.038573287,1.7031305,0.08809304
device,1151.013000416667,-0.038338006,1.7031138,0.08817524
device,1151.0241303750001,-0.038089544,1.7030973,0.08827001
Gesamt_gross,1151.0247010000003,-0.1359537,1.6108605,0.7774235
device,1151.033581666667,-0.037876256,1.7030845,0.08835906
device,1151.0422858333336,-0.03767824,1.7030773,0.08844823
device,1151.0521116250002,-0.037453353,1.7030724,0.08855671
Gesamt_gross,1151.053194541667,-0.13595432,1.6108596,0.77743006
device,1151.063555416667,-0.03719324,1.7030678,0.08869094
device,1151.0757041250004,-0.03691867,1.7030617,0.088848054
device,1151.0830093333336,-0.0367544,1.7030561,0.08894926
Gesamt_gross,1151.0837455833337,-0.13595317,1.6108637,0.7774364
device,1151.0921432500002,-0.036551695,1.7030432,0.08907911
device,1151.1038089583335,-0.03629738,1.7030187,0.089254975
device,1151.1144417083335,-0.036072563,1.7029911,0.089418024
Gesamt_gross,1151.1151803333337,-0.13595393,1.610863,0.7774433
device,1151.1236593333335,-0.03587967,1.7029691,0.08956659
device,1151.133502416667,-0.035677195,1.7029495,0.08972931
device,1151.1421875000003,-0.035499252,1.7029366,0.08988047
Gesamt_gross,1151.1435326250003,-0.13595472,1.6108621,0.7774507
device,1151.1528291250002,-0.035256308,1.7029155,0.09005448
device,1151.1631897916668,-0.035020184,1.7028983,0.09023324
device,1151.172494541667,-0.034815997,1.7028842,0.09039652
device,1151.183348666667,-0.0345816,1.7028681,0.09059614
Gesamt_gross,1151.1838566250003,-0.13595168,1.610866,0.7774471
device,1151.192364291667,-0.034390807,1.7028526,0.09076828
device,1151.2022159583337,-0.034188807,1.702834,0.09095907
Gesamt_gross,1151.2035740833335,-0.13593975,1.6108811,0.7774341
device,1151.213508541667,-0.03396511,1.7028098,0.0911839
device,1151.2241232500003,-0.033763736,1.702787,0.09139794
device,1151.2337102500003,-0.033593297,1.7027733,0.09159881
Gesamt_gross,1151.2345469583336,-0.13593645,1.6108849,0.77743065
device,1151.2420817916668,-0.03344823,1.7027686,0.09177908
device,1151.2528698333335,-0.033277214,1.702775,0.09201002
device,1151.263309291667,-0.03312373,1.7027924,0.09224337
Gesamt_gross,1151.2644523750002,-0.13591394,1.6108967,0.7774192
device,1151.2738189583335,-0.032997698,1.7028172,0.0924744
device,1151.2834220833336,-0.032896228,1.7028433,0.092701495
device,1151.2940212083336,-0.03281322,1.7028761,0.092956066
Gesamt_gross,1151.2946032083337,-0.13591054,1.6109006,0.7774143
device,1151.3041080833336,-0.032770425,1.7029109,0.09320873
device,1151.3124285833335,-0.032764863,1.7029427,0.0934256
device,1151.3236613750003,-0.032799304,1.7029929,0.09372997
Gesamt_gross,1151.3243054583336,-0.13588189,1.610906,0.7774011
device,1151.3319650000003,-0.032856733,1.7030333,0.0939616
device,1151.343593791667,-0.03298834,1.7030795,0.09430188
device,1151.351710416667,-0.03311362,1.7030956,0.09454161
device,1151.3633463333335,-0.033345256,1.7030843,0.094885916
Gesamt_gross,1151.3641434166668,-0.13588502,1.6109059,0.77739584
device,1151.3728692500003,-0.033581704,1.7030432,0.09516448
device,1151.382597666667,-0.03386292,1.7029669,0.09543699
Gesamt_gross,1151.3835377083335,-0.13584277,1.6108986,0.77734125
device,1151.3932591250002,-0.034227043,1.7028425,0.09572923
device,1151.4023342916669,-0.034579188,1.702714,0.095968366
device,1151.412263416667,-0.035021715,1.7025598,0.096229315
Gesamt_gross,1151.4131965833335,-0.1358073,1.610893,0.7774099
device,1151.4240386250003,-0.035612803,1.7023833,0.096538216
device,1151.4320797916669,-0.036083378,1.7022605,0.096767664
device,1151.441793416667,-0.036689293,1.7021326,0.09704265
Gesamt_gross,1151.4432188750002,-0.13576955,1.6108913,0.77745116
device,1151.451716166667,-0.03736645,1.7020125,0.09732497
device,1151.462168291667,-0.038146734,1.701885,0.097620964
device,1151.472991041667,-0.039010666,1.7017399,0.09791362
Gesamt_gross,1151.4739775000003,-0.13576585,1.6108909,0.777495
device,1151.4819422500002,-0.039793115,1.701603,0.09815088
device,1151.4923470000003,-0.040755033,1.7014322,0.098409116
device,1151.5025660000003,-0.041764777,1.7012614,0.098642975
Gesamt_gross,1151.5035016666668,-0.13573354,1.6108881,0.7775308
device,1151.5132310833335,-0.04288146,1.7011023,0.09885514
device,1151.522558416667,-0.043902796,1.7009741,0.099028856
device,1151.5327905833335,-0.04510505,1.7008439,0.099212974
Gesamt_gross,1151.539419916667,-0.13571186,1.6108923,0.77758574
device,1151.5431704583336,-0.04638627,1.7007293,0.09938836
device,1151.5522915416668,-0.047565192,1.7006423,0.0995357
device,1151.5642736250002,-0.04919076,1.7005522,0.09972131
Gesamt_gross,1151.565595916667,-0.13571101,1.6108954,0.7775663
device,1151.572055416667,-0.050304353,1.7005105,0.09983963
device,1151.5832551250003,-0.051963173,1.700472,0.10000938
device,1151.592659666667,-0.053422045,1.7004515,0.100147516
Gesamt_gross,1151.5935266250003,-0.13568893,1.6109064,0.77753615
device,1151.6020183750002,-0.054915816,1.7004387,0.10027993
device,1151.6125912500002,-0.056664526,1.7004158,0.10042721
device,1151.624815416667,-0.058808506,1.7003667,0.10059619
Gesamt_gross,1151.6259248750002,-0.13568798,1.6109099,0.7775152
device,1151.6327438333335,-0.060245734,1.7003187,0.10070297
device,1151.642615166667,-0.06211734,1.7002386,0.10083634
device,1151.6525530000004,-0.064074785,1.7001321,0.10097277
Gesamt_gross,1151.6555482500003,-0.13568717,1.6109135,0.77749383
device,1151.663974041667,-0.06645597,1.6999799,0.10113728
device,1151.6720743750002,-0.0681876,1.699853,0.10125825
device,1151.683936416667,-0.070815444,1.6996412,0.101446986
Gesamt_gross,1151.684901666667,-0.13568571,1.6109126,0.7774588
device,1151.6921054583336,-0.07270276,1.6994729,0.10158849
device,1151.7025969583335,-0.07513927,1.6992316,0.101804554
device,1151.7132364583335,-0.07773794,1.6989555,0.10203856
Gesamt_gross,1151.7196449583337,-0.13567623,1.6109064,0.7774221
device,1151.7230744583335,-0.080204494,1.6986781,0.10226479
device,1151.7325597083336,-0.08259779,1.6984023,0.10249007
device,1151.7424853333337,-0.08529723,1.6980827,0.1027506
Gesamt_gross,1151.7447807083336,-0.13567582,1.6108949,0.7773763
device,1151.753943541667,-0.08847804,1.6976964,0.10306615
