device,time,x,y,z
device,2160.832889416667,-0.09144786,1.5648577,-0.13199265
Gesamt_gross,2160.833936166667,-0.020917863,1.49896,-0.85966885
device,2160.835461541667,-0.09145221,1.564862,-0.13200071
device,2160.8461831250006,-0.09147045,1.5648835,-0.13203162
device,2160.855803583334,-0.091484606,1.5649085,-0.13206267
Gesamt_gross,2160.8570908333336,-0.020919874,1.4989599,-0.85967124
device,2160.865607291667,-0.091501914,1.5649277,-0.13209572
device,2160.8755504583337,-0.09152077,1.5649493,-0.13212866
device,2160.8860002500005,-0.09153998,1.5649707,-0.13216177
Gesamt_gross,2160.8873776250007,-0.020921871,1.4989595,-0.8596729
device,2160.8975964583337,-0.091559485,1.5649941,-0.13219672
device,2160.906722291667,-0.09157545,1.5650119,-0.13222086
device,2160.917084916667,-0.091592655,1.5650307,-0.13224655
Gesamt_gross,2160.919736541667,-0.020914003,1.4989467,-0.85967207
device,2160.9273876250004,-0.09161118,1.565049,-0.13226965
device,2160.9374793333336,-0.09163006,1.5650694,-0.1322906
device,2160.9465950000003,-0.0916481,1.5650903,-0.13230851
Gesamt_gross,2160.952106416667,-0.020927638,1.4989411,-0.8596586
device,2160.956398833334,-0.09167224,1.5651141,-0.13233007
device,2160.9664968750003,-0.09172472,1.5651257,-0.13236722
device,2160.9765140000004,-0.09177235,1.5651426,-0.13240302
Gesamt_gross,2160.9776262500004,-0.020941049,1.4989355,-0.85964394
device,2160.9863205000006,-0.091815114,1.5651655,-0.13243678
device,2160.9966031250005,-0.091855064,1.5651935,-0.13246801
device,2161.006575291667,-0.09188834,1.5652255,-0.13249514
Gesamt_gross,2161.0075632916673,-0.020954043,1.4989301,-0.85963047
device,2161.0165665833338,-0.09191814,1.5652626,-0.13251954
device,2161.0267552500004,-0.09194411,1.5653024,-0.13253799
device,2161.0276428750003,-0.09194675,1.5653074,-0.13253964
device,2161.0366505000006,-0.09196639,1.5653472,-0.13254893
Gesamt_gross,2161.0372195000004,-0.02093856,1.4988997,-0.85961795
device,2161.046728791667,-0.09198256,1.5653886,-0.13254632
device,2161.0564492500007,-0.09199427,1.5654368,-0.13253798
device,2161.0666920833337,-0.09200053,1.5655004,-0.13252392
Gesamt_gross,2161.067621916667,-0.020963788,1.4988755,-0.85938054
device,2161.0775033750006,-0.09200112,1.5655872,-0.13250211
device,2161.0871886250006,-0.091995835,1.565688,-0.1324771
device,2161.097163541667,-0.09198618,1.5658103,-0.13244262
Gesamt_gross,2161.1001867500004,-0.020975769,1.4988705,-0.8593676
device,2161.1069983333336,-0.09197438,1.5659506,-0.13239977
device,2161.1169256250005,-0.09195705,1.566113,-0.13234898
device,2161.1274537500003,-0.091935985,1.566306,-0.13229552
Gesamt_gross,2161.133256041667,-0.020967484,1.4988639,-0.859359
device,2161.136764416667,-0.091913536,1.566497,-0.13223784
device,2161.146940208334,-0.09188432,1.566728,-0.13216421
device,2161.156590208334,-0.09185207,1.5669659,-0.13208401
Gesamt_gross,2161.1573772500005,-0.020925418,1.4987158,-0.8593925
device,2161.166852958334,-0.09181388,1.5672445,-0.13198462
device,2161.1771146250003,-0.091773905,1.5675354,-0.13187188
device,2161.1874643750007,-0.09172809,1.5678446,-0.13174696
Gesamt_gross,2161.188711708334,-0.02091743,1.4987092,-0.85938525
device,2161.1972854583337,-0.09168269,1.5681486,-0.13161662
device,2161.207214916667,-0.091633245,1.5684657,-0.13147548
device,2161.217009708334,-0.0915816,1.5687858,-0.13132834
Gesamt_gross,2161.217667583334,-0.020894408,1.4985855,-0.85941267
device,2161.227087291667,-0.09153045,1.5691186,-0.13117832
device,2161.236947291667,-0.09148587,1.5694348,-0.13104612
device,2161.2471400000004,-0.09143685,1.5697684,-0.13090259
Gesamt_gross,2161.2478457916673,-0.020868003,1.4984393,-0.85944945
device,2161.2575085833337,-0.09138431,1.5701114,-0.13075215
device,2161.2674513750003,-0.09133005,1.5704467,-0.13060175
device,2161.2773318750005,-0.09127633,1.5707757,-0.1304512
Gesamt_gross,2161.278077916667,-0.020839036,1.4982855,-0.8594873
device,2161.2871669583337,-0.09121898,1.571105,-0.13030094
device,2161.2968592500006,-0.09116137,1.571424,-0.1301521
device,2161.307066666667,-0.09110157,1.5717558,-0.12999168
device,2161.3153050000005,-0.091057226,1.5720241,-0.12986207
Gesamt_gross,2161.315753416667,-0.020853668,1.4982861,-0.859449
device,2161.325413666667,-0.09099822,1.5723398,-0.12970151
device,2161.3354173333337,-0.09093397,1.5726395,-0.12954044
Gesamt_gross,2161.337303916667,-0.020842671,1.4981416,-0.85945743
device,2161.345625833334,-0.09086114,1.5729291,-0.12937456
device,2161.3556056250004,-0.09078246,1.5731983,-0.12921146
device,2161.3655727500004,-0.090695664,1.5734553,-0.12904692
Gesamt_gross,2161.3679217500003,-0.020828754,1.4980099,-0.8594607
device,2161.3757794166672,-0.09060313,1.5737004,-0.12887967
device,2161.385591166667,-0.09050587,1.5739233,-0.12871596
device,2161.3956641666673,-0.090399355,1.5741411,-0.12854567
Gesamt_gross,2161.397534083334,-0.02081421,1.4979002,-0.85945964
device,2161.4056342500003,-0.09028294,1.5743397,-0.12837958
