device,time,x,y,z
device,3090.2912440000005,0.29714406,1.4944137,-0.3734303
device,3090.292045833334,0.297109,1.4944096,-0.3734159
device,3090.301899083334,0.29674697,1.4943705,-0.37326568
Gesamt_gross,3090.3030791666674,0.06683445,1.4403881,-1.105967
device,3090.312502625001,0.29636478,1.4943358,-0.3731045
device,3090.3224514166673,0.29603517,1.4943087,-0.37294918
device,3090.332493958334,0.29570496,1.4942896,-0.372791
Gesamt_gross,3090.3330595000007,0.0668422,1.440378,-1.1059358
device,3090.341861208334,0.2953974,1.4942778,-0.3726409
device,3090.3519569166674,0.29506877,1.4942716,-0.37247762
device,3090.3628364166675,0.29472244,1.4942715,-0.37230033
Gesamt_gross,3090.363260875001,0.06672311,1.4405168,-1.1059003
device,3090.371720333334,0.29443955,1.4942765,-0.37215275
device,3090.381346708334,0.29413646,1.4942898,-0.3719922
device,3090.3922811666675,0.29379654,1.4943113,-0.37181503
Gesamt_gross,3090.392986208334,0.0667299,1.4405079,-1.1058705
device,3090.4025335416673,0.29347634,1.4943335,-0.37165755
device,3090.4120311666675,0.29318345,1.4943621,-0.37151092
device,3090.4225038750005,0.2928721,1.4943979,-0.37134895
device,3090.4324215000006,0.29258585,1.4944383,-0.37119597
Gesamt_gross,3090.433297333334,0.066743135,1.4405038,-1.1058342
device,3090.442805333334,0.29229504,1.4944857,-0.3710347
device,3090.452525500001,0.29203272,1.4945343,-0.37088448
Gesamt_gross,3090.4533515416674,0.06675601,1.4405,-1.1057992
device,3090.462373958334,0.2917811,1.4945859,-0.37073526
device,3090.472434375001,0.2915213,1.4946462,-0.37057894
device,3090.482470000001,0.29127997,1.4947059,-0.37042806
device,3090.4831441666674,0.29126203,1.4947102,-0.3704167
Gesamt_gross,3090.483488375001,0.0667969,1.440473,-1.1058128
device,3090.4918793750007,0.29106104,1.4947648,-0.3702883
device,3090.501995083334,0.29082525,1.4948342,-0.37013978
device,3090.5116334166673,0.29061127,1.4949007,-0.3700015
Gesamt_gross,3090.512796958334,0.066809654,1.4404689,-1.105778
device,3090.521520791667,0.2903992,1.49497,-0.36986154
device,3090.531592791667,0.29019618,1.4950411,-0.3697266
device,3090.542134666667,0.28999475,1.495117,-0.3695924
Gesamt_gross,3090.543523208334,0.06682229,1.4404651,-1.1057434
device,3090.5525706250005,0.2898095,1.4951935,-0.36946568
device,3090.5622195000005,0.28964913,1.4952635,-0.3693542
device,3090.572228333334,0.28949058,1.4953364,-0.369245
Gesamt_gross,3090.573151833334,0.06683481,1.4404613,-1.1057088
device,3090.582197083334,0.28933397,1.4954039,-0.3691431
device,3090.5920042500006,0.28915143,1.4954596,-0.3690483
device,3090.602401333334,0.28897408,1.4955226,-0.36895487
Gesamt_gross,3090.608976041667,0.06692195,1.4402553,-1.1057596
device,3090.6120576250005,0.2888224,1.4955877,-0.36887306
device,3090.6218531250006,0.28868213,1.495661,-0.3687975
device,3090.6317061250006,0.2885541,1.4957396,-0.3687273
Gesamt_gross,3090.6331310000005,0.06692767,1.4402468,-1.1057367
device,3090.6423086666673,0.28842407,1.4958317,-0.3686553
device,3090.651948750001,0.28831434,1.495921,-0.3685972
device,3090.661758708334,0.28821266,1.4960166,-0.36854166
Gesamt_gross,3090.662809083334,0.066933274,1.4402397,-1.1057122
