device,time,x,y,z
device,1739.1284679583337,0.034466326,1.6875789,-0.19177616
device,1739.143958791667,0.034570783,1.6875044,-0.19180983
referenceObject,1739.1446693333337,0.066652596,1.5603563,-0.86632454
referenceObject,1739.144790291667,0.066652,1.560354,-0.8663368
device,1739.1522575000004,0.034630686,1.6874557,-0.19183087
device,1739.1613160833338,0.034698278,1.6873939,-0.19185764
device,1739.171605291667,0.034779876,1.6873137,-0.19189382
referenceObject,1739.1722324166672,0.066575676,1.5603254,-0.8663471
device,1739.1807032083336,0.034858376,1.6872323,-0.19192922
device,1739.191050916667,0.03495449,1.6871326,-0.19197524
device,1739.201331916667,0.035061955,1.6870226,-0.19203281
referenceObject,1739.2019680000003,0.06657469,1.560323,-0.86635995
device,1739.2113952083337,0.035175562,1.6869087,-0.19209385
device,1739.2228745833338,0.035319507,1.6867739,-0.1921736
device,1739.231367541667,0.035434157,1.6866744,-0.19223762
referenceObject,1739.2319513333337,0.06657395,1.5603207,-0.8663727
device,1739.2413855833338,0.03558147,1.6865546,-0.19231796
device,1739.2520919583337,0.03575301,1.6864277,-0.19240892
device,1739.2619368333337,0.035926282,1.6863031,-0.19249481
device,1739.2712072500003,0.036104262,1.6861778,-0.19257706
referenceObject,1739.271723791667,0.06657323,1.5603184,-0.8663856
device,1739.2814443333336,0.036323816,1.6860243,-0.19266856
device,1739.2913777083338,0.03656161,1.6858621,-0.19275713
referenceObject,1739.2977260833338,0.06649232,1.5602728,-0.8663471
device,1739.3011577500004,0.036816657,1.6856904,-0.19284475
device,1739.3111237916671,0.037101954,1.6855052,-0.19293875
device,1739.3205526250003,0.03739947,1.6853251,-0.19303441
device,1739.3303942500004,0.03773555,1.6851418,-0.19314313
referenceObject,1739.3359213750005,0.06648329,1.5602697,-0.8663465
device,1739.3404821250003,0.03810504,1.6849678,-0.19326824
device,1739.3505883333337,0.038515776,1.6848068,-0.19341552
referenceObject,1739.3516670000004,0.06647441,1.5602666,-0.8663454
device,1739.3604915833337,0.038937867,1.6846575,-0.19357729
device,1739.3703731250005,0.03939995,1.6845056,-0.19376159
device,1739.3808792500004,0.039922386,1.684352,-0.19396651
referenceObject,1739.3816198333336,0.066465676,1.5602635,-0.86634624
device,1739.3912210000003,0.040471286,1.6842066,-0.19417441
device,1739.401165166667,0.041050375,1.6840804,-0.19438052
device,1739.4114608333336,0.041683286,1.6839486,-0.19459301
referenceObject,1739.4122963333336,0.06641731,1.5603926,-0.86628926
device,1739.421446416667,0.042336017,1.6838194,-0.19479764
device,1739.431585791667,0.04304105,1.6836907,-0.19500417
device,1739.440936666667,0.043726504,1.6835792,-0.19519198
device,1739.451332916667,0.044538885,1.6834676,-0.19540066
referenceObject,1739.4520230000003,0.066408634,1.5603898,-0.8662895
device,1739.4616184583338,0.045387268,1.6833692,-0.19560266
device,1739.471552041667,0.046249866,1.6832802,-0.19578719
device,1739.4813710833337,0.047147572,1.683196,-0.19596338
referenceObject,1739.482128666667,0.0664081,1.5603861,-0.8662946
