device,time,x,y,z
device,409.1110495416668,-0.38315806,1.6394073,-1.6918781
device,409.1297258750001,-0.38313887,1.6394491,-1.69187
device,409.13767479166677,-0.38313097,1.639468,-1.6918703
referenceObject,409.13823012500006,-0.35404885,1.5899055,-1.1023564
device,409.14725404166677,-0.3831243,1.6394851,-1.6918749
device,409.1596155000001,-0.38311708,1.6395056,-1.6918852
referenceObject,409.16001825000006,-0.35404855,1.5899055,-1.102353
device,409.1666670000001,-0.38311362,1.639515,-1.6918932
device,409.17798608333345,-0.38310832,1.6395271,-1.6919076
device,409.1869108750001,-0.38310432,1.6395361,-1.6919179
referenceObject,409.18850208333345,-0.35404867,1.5899054,-1.1023566
device,409.19695441666676,-0.38309813,1.6395464,-1.6919224
device,409.2066561250001,-0.38309193,1.6395572,-1.6919242
device,409.21820991666675,-0.38308334,1.6395692,-1.6919243
referenceObject,409.21895504166673,-0.3540253,1.5898594,-1.1023396
device,409.2288757916668,-0.38307446,1.6395794,-1.6919212
device,409.23752395833344,-0.3830646,1.6395888,-1.6919158
device,409.2474440000001,-0.38305068,1.6395991,-1.6919074
referenceObject,409.24939237500007,-0.35402513,1.5898594,-1.1023403
device,409.2580394583334,-0.38303226,1.6396086,-1.6918975
device,409.2667358750001,-0.38301435,1.6396145,-1.6918892
device,409.2772260833334,-0.38298672,1.639618,-1.6918764
device,409.2883777500001,-0.38295412,1.6396198,-1.6918607
referenceObject,409.2894112500001,-0.354025,1.5898595,-1.1023384
device,409.2965717500001,-0.38293126,1.6396196,-1.691848
device,409.3065498333334,-0.38290328,1.6396205,-1.6918308
device,409.3183027500001,-0.3828712,1.6396239,-1.6918067
device,409.32735458333343,-0.38284802,1.6396286,-1.6917877
device,409.33804358333344,-0.3828187,1.639636,-1.6917651
referenceObject,409.3387007500001,-0.354025,1.5898594,-1.1023402
referenceObject,409.3387897083334,-0.35398608,1.589851,-1.1023384
device,409.3477660833334,-0.3827922,1.6396458,-1.6917439
device,409.3583455416668,-0.382762,1.639658,-1.6917229
device,409.3677649166668,-0.38273478,1.6396714,-1.6917073
device,409.37739816666675,-0.3827017,1.6396867,-1.6916983
referenceObject,409.3782265000001,-0.35398608,1.589851,-1.1023391
device,409.3888011666668,-0.38263786,1.6397032,-1.6917053
device,409.3972954583334,-0.38258776,1.6397189,-1.6917148
device,409.4081945000001,-0.3825156,1.6397465,-1.6917315
referenceObject,409.40881583333345,-0.3539858,1.5898511,-1.1023388
device,409.41770266666674,-0.38244843,1.6397787,-1.6917468
device,409.4301068333334,-0.3823646,1.6398259,-1.6917628
referenceObject,409.4308227500001,-0.35398573,1.589851,-1.102337
device,409.43976108333345,-0.3822788,1.6398782,-1.6917778
device,409.4480395000001,-0.38220736,1.6399225,-1.6917902
device,409.4585980833334,-0.3821091,1.6399825,-1.6918077
device,409.4663979166668,-0.3820323,1.6400248,-1.6918231
referenceObject,409.4669294583334,-0.35399282,1.5898399,-1.102323
device,409.4773932916668,-0.38192087,1.6400881,-1.6918492
device,409.4864652083334,-0.38182312,1.6401452,-1.691876
device,409.4972717083334,-0.38170502,1.6402133,-1.6919148
referenceObject,409.4979438333334,-0.35399276,1.5898399,-1.1023238
device,409.50823791666676,-0.3815791,1.6402853,-1.691962
device,409.5174090833334,-0.38147056,1.6403443,-1.6920056
referenceObject,409.51792229166676,-0.3539927,1.5898399,-1.1023232
device,409.5268049166668,-0.38135964,1.6404021,-1.6920527
device,409.53738141666673,-0.38123274,1.6404715,-1.6921084
device,409.5470874583334,-0.381109,1.6405493,-1.6921608
device,409.5564632500001,-0.38097942,1.6406386,-1.6922178
referenceObject,409.56090820833344,-0.35399246,1.5898399,-1.1023244
device,409.56788195833343,-0.38080353,1.6407841,-1.6922857
device,409.57617370833344,-0.3806647,1.6409144,-1.6923316
referenceObject,409.5783105416668,-0.35406703,1.5897039,-1.1022351
device,409.58577029166673,-0.38048288,1.6410928,-1.6923865
device,409.5973458750001,-0.3802345,1.6413468,-1.6924556
device,409.6054121250001,-0.38004327,1.641562,-1.6925036
referenceObject,409.6086341666668,-0.35406703,1.589704,-1.1022335
device,409.6160041250001,-0.37976652,1.6419029,-1.6925625
device,409.6268465000001,-0.37944257,1.6423272,-1.6926134
device,409.6360659583334,-0.37912413,1.6427542,-1.6926448
referenceObject,409.63790033333345,-0.3542946,1.5893304,-1.1020458
device,409.64648979166674,-0.37870225,1.6433074,-1.6926723
device,409.6564168333334,-0.37823302,1.6438904,-1.6926935
device,409.66659270833344,-0.37766266,1.6445262,-1.692731
referenceObject,409.67426083333345,-0.35428387,1.5893494,-1.1021253
device,409.6764667500001,-0.37704802,1.645167,-1.6927739
device,409.6864948333334,-0.3763649,1.6458353,-1.6928289
device,409.6975415000001,-0.3755617,1.6465751,-1.6929079
referenceObject,409.6981106250001,-0.3550924,1.5882697,-1.1007323
device,409.7061451666668,-0.37489128,1.647163,-1.6929828
device,409.7167564166668,-0.37403423,1.6478857,-1.6930896
device,409.7267523750001,-0.37320775,1.648551,-1.693206
referenceObject,409.72780675000007,-0.35559875,1.587618,-1.0990803
device,409.73609220833345,-0.3724119,1.6491677,-1.6933249
device,409.7464327500001,-0.3715111,1.6498443,-1.6934632
device,409.75615920833343,-0.37066483,1.6504573,-1.6936009
device,409.76710850000006,-0.36971158,1.6511173,-1.6937721
referenceObject,409.77116004166675,-0.35643703,1.5867119,-1.0973238
device,409.7777761250001,-0.3687901,1.6517298,-1.693956
device,409.7865175833334,-0.3680477,1.6522092,-1.6941175
device,409.79673391666677,-0.3671673,1.6527716,-1.6943202
referenceObject,409.8008703750001,-0.3568948,1.5861635,-1.0958024
device,409.8065904583334,-0.36634362,1.6532958,-1.6945192
device,409.8167180000001,-0.36550623,1.6538252,-1.6947331
referenceObject,409.81786129166676,-0.35758954,1.5854517,-1.0942279
device,409.82684237500007,-0.36469948,1.6543307,-1.6949466
device,409.8379445833334,-0.3638364,1.6548569,-1.6952002
device,409.84640879166676,-0.3632032,1.6552385,-1.6954051
device,409.8582266250001,-0.36234617,1.6557542,-1.695707
referenceObject,409.86343591666673,-0.35793388,1.5850166,-1.0928429
device,409.8702927500001,-0.36150432,1.6562674,-1.696025
device,409.8778924583334,-0.36099383,1.6565818,-1.696229
device,409.88800058333345,-0.36033344,1.656992,-1.6965069
referenceObject,409.8909455833334,-0.35840797,1.5844655,-1.0914395
device,409.89773400000007,-0.3597269,1.6573707,-1.6967796
device,409.9063665000001,-0.35920334,1.6576972,-1.6970289
referenceObject,409.9080365000001,-0.35848367,1.5842508,-1.0902447
device,409.91780095833343,-0.35851696,1.6581002,-1.6973284
device,409.92685825000007,-0.35799772,1.658408,-1.6975749
device,409.9383565833334,-0.35736167,1.6587965,-1.6978983
device,409.9471712500001,-0.35690323,1.6590852,-1.6981472
referenceObject,409.9490811250001,-0.35881138,1.5837766,-1.0889573
device,409.9563412916668,-0.356431,1.6593941,-1.6984153
device,409.96677766666676,-0.35592937,1.6597288,-1.6987176
referenceObject,409.9680678750001,-0.35903764,1.5833583,-1.0877364
device,409.97707466666674,-0.3554652,1.6600453,-1.6990135
device,409.9879907083334,-0.35498917,1.6603781,-1.6993365
device,409.9976054166668,-0.35458946,1.6606632,-1.6996224
referenceObject,409.99855441666676,-0.3591944,1.5829856,-1.0865675
device,410.00641441666676,-0.3542266,1.6609154,-1.6998847
device,410.01701262500006,-0.35381106,1.6612118,-1.7001964
device,410.0273178750001,-0.3534313,1.6614888,-1.7004938
device,410.0374400833334,-0.35306084,1.6617671,-1.7007945
device,410.04766395833343,-0.35270923,1.6620392,-1.7010891
device,410.05680179166677,-0.3524086,1.6622803,-1.7013482
referenceObject,410.05818516666676,-0.35924608,1.5828167,-1.0855229
referenceObject,410.0587381666667,-0.35932022,1.5825489,-1.0850964
device,410.06783837500006,-0.35206524,1.6625669,-1.7016474
device,410.0784808333334,-0.3517481,1.6628401,-1.7019235
device,410.08770604166676,-0.3514819,1.6630706,-1.7021568
referenceObject,410.0885790000001,-0.35935724,1.5823946,-1.0850096
device,410.09783225000007,-0.35118788,1.6633103,-1.7024158
device,410.10874966666677,-0.35088357,1.6635581,-1.7026794
device,410.1104938750001,-0.35083413,1.6635987,-1.7027218
device,410.11476958333344,-0.350721,1.6636909,-1.7028178
referenceObject,410.11809133333344,-0.35937494,1.5822554,-1.0849371
device,410.1248607083334,-0.35045856,1.6639024,-1.7030348
device,410.13478270833343,-0.3502078,1.6641035,-1.7032366
device,410.1448244583334,-0.34996617,1.6642965,-1.7034242
referenceObject,410.14793216666675,-0.35937476,1.5822552,-1.0849363
device,410.15512737500006,-0.34972906,1.6644838,-1.7036016
device,410.1649075000001,-0.34950805,1.6646597,-1.7037578
device,410.1748476666668,-0.34929395,1.6648303,-1.7039014
referenceObject,410.1777082083334,-0.35937995,1.5820785,-1.0848508
device,410.1849577500001,-0.3490743,1.6649863,-1.7040383
device,410.19490316666673,-0.34882492,1.6650879,-1.7041825
device,410.2048817083334,-0.34858567,1.6651847,-1.704313
referenceObject,410.2137595416668,-0.35937977,1.5820783,-1.084851
device,410.21469045833345,-0.34836355,1.6652794,-1.7044282
device,410.2248515000001,-0.34815523,1.6653736,-1.7045283
device,410.2347871250001,-0.34796607,1.6654658,-1.7046113
device,410.24490991666676,-0.34779388,1.6655567,-1.7046785
referenceObject,410.2517697083334,-0.3593797,1.5820785,-1.0848503
device,410.25503741666677,-0.3476414,1.6656425,-1.7047312
device,410.2649061250001,-0.34750623,1.6657231,-1.7047746
device,410.2748239166668,-0.3473869,1.6657983,-1.7048213
referenceObject,410.27943283333343,-0.3593731,1.5819192,-1.0847809
device,410.2847327083334,-0.3472845,1.6658689,-1.7048515
device,410.2948441250001,-0.3471986,1.6659354,-1.7048655
referenceObject,410.2977154583334,-0.3593728,1.5819192,-1.084782
device,410.30482083333345,-0.3471312,1.6659923,-1.7048658
device,410.3147619583334,-0.34708023,1.6660444,-1.7048512
device,410.32491270833344,-0.34704426,1.666098,-1.704821
device,410.3349265000001,-0.3470232,1.6661553,-1.7047759
referenceObject,410.34279991666676,-0.35937262,1.5819192,-1.0847818
device,410.3448184583334,-0.34701738,1.6662096,-1.7047174
device,410.3549274583334,-0.34702355,1.6662607,-1.704643
device,410.3648548750001,-0.3470341,1.6663054,-1.7045563
referenceObject,410.36970308333343,-0.35937262,1.5819192,-1.0847833
device,410.3747520000001,-0.34706318,1.6663512,-1.7044567
device,410.38511483333343,-0.3471141,1.6664078,-1.7043394
device,410.3948194583334,-0.34718534,1.6664742,-1.7042104
referenceObject,410.3989781250001,-0.35926265,1.5818152,-1.084767
device,410.4048497916668,-0.34728488,1.6665558,-1.704059
device,410.41484854166674,-0.34741306,1.666647,-1.7038902
device,410.4248305833334,-0.3475741,1.666744,-1.7037033
device,410.4349757916668,-0.34777153,1.6668421,-1.7035016
referenceObject,410.43960779166673,-0.35926247,1.5818152,-1.0847678
device,410.4448150833334,-0.3480029,1.6669382,-1.7032907
referenceObject,410.4477798750001,-0.35926247,1.5818152,-1.0847677
device,410.45484491666673,-0.34826934,1.6670356,-1.7030607
device,410.4647848750001,-0.34851646,1.6671298,-1.702811
device,410.47485579166676,-0.34880793,1.667205,-1.7025515
referenceObject,410.4780240833334,-0.35926223,1.5818152,-1.0847688
device,410.4847685000001,-0.34915215,1.6672611,-1.7022847
device,410.4949748750001,-0.34956574,1.6673021,-1.7020038
device,410.5049755000001,-0.35003296,1.6673331,-1.7017136
device,410.5149485833334,-0.3505562,1.6673585,-1.7014138
device,410.52476591666675,-0.35113618,1.6673812,-1.701106
referenceObject,410.5320405000001,-0.35925657,1.5817792,-1.0848386
device,410.53479729166673,-0.35178325,1.6674025,-1.7007871
referenceObject,410.5383088750001,-0.35925627,1.5817792,-1.0848386
device,410.5448413333334,-0.35248747,1.6674218,-1.7004637
device,410.5548007500001,-0.35325322,1.6674324,-1.7001412
device,410.5649170833334,-0.35410094,1.6674383,-1.6998125
device,410.5747778750001,-0.3549878,1.6674447,-1.6994932
referenceObject,410.57774775000007,-0.35925627,1.5817792,-1.0848383
device,410.58477820833343,-0.3559419,1.6674603,-1.6991687
device,410.59482354166676,-0.35696125,1.6674889,-1.6988386
referenceObject,410.59812429166675,-0.35925615,1.5817791,-1.0848368
device,410.60496133333345,-0.35804605,1.6675283,-1.6985029
device,410.61470929166677,-0.35915956,1.6675805,-1.6981667
device,410.6248906666668,-0.36037964,1.667649,-1.697803
referenceObject,410.62830891666675,-0.35949028,1.5818431,-1.084997
device,410.63480020833344,-0.36162823,1.6677307,-1.6974341
device,410.6447529583334,-0.36294478,1.6678252,-1.6970507
device,410.65468904166676,-0.3643158,1.6679289,-1.6966555
referenceObject,410.6582200000001,-0.35949028,1.5818431,-1.0849961
device,410.6646872500001,-0.3657511,1.6680368,-1.6962473
device,410.67463695833345,-0.3672362,1.6681432,-1.6958308
device,410.68496183333343,-0.36882728,1.668246,-1.6953934
referenceObject,410.68914529166676,-0.35982257,1.5819023,-1.0850815
device,410.69483158333344,-0.37041262,1.6683384,-1.6949649
device,410.70480791666677,-0.37207252,1.6684226,-1.694527
device,410.71471616666673,-0.37380472,1.6684983,-1.694084
device,410.72482566666673,-0.37557453,1.6685729,-1.6936553
referenceObject,410.7283785000001,-0.3601516,1.58191,-1.0851358
device,410.73472554166676,-0.37734568,1.6686478,-1.6932558
device,410.74490604166675,-0.37923384,1.6687146,-1.6928443
device,410.7547156250001,-0.38113707,1.6687669,-1.6924424
referenceObject,410.76415716666673,-0.3601591,1.5818641,-1.0847986
device,410.7647397500001,-0.38315117,1.6688077,-1.6920313
device,410.77491279166674,-0.38529706,1.6688368,-1.6916084
referenceObject,410.77821329166676,-0.36055875,1.5817281,-1.0838505
device,410.78481116666677,-0.38745254,1.6688527,-1.6911981
device,410.7947424583334,-0.38969445,1.668856,-1.6907841
device,410.80467508333345,-0.39202708,1.6688417,-1.6903698
device,410.8146523333334,-0.39445156,1.6688145,-1.6899606
referenceObject,410.81732037500007,-0.36099094,1.5815845,-1.0829256
device,410.82459541666674,-0.39694142,1.6687653,-1.6895604
