device,time,x,y,z
device,3979.967184958334,-0.114003055,1.5532554,-0.106936745
referenceObject,3979.9684545416676,0.14496452,1.5179007,-0.70604056
device,3979.971535333334,-0.11398411,1.5532677,-0.10694945
device,3979.9821670416677,-0.11393702,1.5532955,-0.106981695
device,3979.992668250001,-0.113889694,1.5533223,-0.10701454
referenceObject,3979.993511583334,0.14498597,1.5178622,-0.7059955
device,3980.001782208334,-0.11384564,1.5533459,-0.10704538
device,3980.0121977916674,-0.1137939,1.5533763,-0.107084244
device,3980.023384708334,-0.11373925,1.5534167,-0.10712975
referenceObject,3980.0239889166673,0.14498538,1.5178621,-0.7059848
device,3980.031061000001,-0.11370181,1.5534457,-0.107162885
device,3980.040691500001,-0.1136539,1.5534813,-0.107206404
device,3980.0514347500007,-0.11359942,1.5535165,-0.107254446
referenceObject,3980.058343625001,0.14498436,1.5178618,-0.7059725
device,3980.0616276250007,-0.11354595,1.553546,-0.10730037
device,3980.0721716666676,-0.113490574,1.5535716,-0.10734736
device,3980.082293833334,-0.11344128,1.5535913,-0.10739133
referenceObject,3980.0832486666677,0.14498383,1.5178617,-0.7059626
device,3980.0915112916678,-0.11339872,1.5536064,-0.107431084
device,3980.100597875001,-0.11335981,1.5536221,-0.10747081
device,3980.111443750001,-0.113316774,1.5536449,-0.10751963
referenceObject,3980.113319375001,0.14497894,1.5178208,-0.7059234
device,3980.1211737916674,-0.11327922,1.553672,-0.10756767
device,3980.1310129583344,-0.11324525,1.5537069,-0.10761899
device,3980.1413525000007,-0.11320961,1.5537546,-0.10768122
device,3980.1513376666676,-0.11317611,1.5538106,-0.10774714
referenceObject,3980.152363833334,0.14497751,1.5178207,-0.7059116
device,3980.1613886666673,-0.11314225,1.5538753,-0.10781777
device,3980.162073125001,-0.1131407,1.5538801,-0.107822835
device,3980.1714369166675,-0.11313653,1.5539297,-0.107905865
device,3980.1821504166674,-0.11312615,1.553981,-0.10800182
referenceObject,3980.186351208334,0.1449781,1.5178207,-0.7059042
device,3980.1920707916674,-0.11310625,1.5540268,-0.10809505
device,3980.2021722916675,-0.11307514,1.5540779,-0.10819006
