device,time,x,y,z
device,2802.9060757500006,0.040734082,1.6816868,-0.10074883
device,2802.9076916250006,0.040740073,1.6816888,-0.10076702
device,2802.915970958334,0.040772587,1.6816998,-0.10085838
device,2802.9374466250006,0.04086806,1.6817384,-0.10110614
referenceObject,2802.939593083334,0.24572372,1.5589886,-0.7206314
device,2802.945712833334,0.040908933,1.6817626,-0.10120493
device,2802.955892291667,0.04096462,1.6818082,-0.10133597
referenceObject,2802.957063666667,0.24570692,1.5589902,-0.7205965
device,2802.965596458334,0.041021407,1.6818703,-0.1014753
device,2802.9758620416674,0.041082054,1.6819618,-0.10163254
device,2802.986365208334,0.041142642,1.6820893,-0.101804316
device,2802.9967472916674,0.04120201,1.6822491,-0.10198575
referenceObject,2802.9991945000006,0.24566337,1.5590049,-0.72055024
device,2803.0064233750004,0.04125446,1.6824327,-0.10216856
device,2803.0175921666673,0.04131341,1.6826799,-0.102395
referenceObject,2803.0187539166673,0.24564591,1.5590065,-0.720514
device,2803.027925416667,0.041364163,1.68294,-0.10262155
device,2803.0358014166673,0.041402042,1.6831555,-0.10280889
device,2803.0462168750005,0.04145032,1.6834531,-0.10307205
device,2803.056460583334,0.04149379,1.6837524,-0.10334924
referenceObject,2803.0571563750004,0.24562895,1.5590079,-0.7204793
device,2803.0658642916674,0.04153222,1.6840286,-0.10362017
device,2803.0757518750006,0.041568458,1.6843112,-0.103918076
referenceObject,2803.082824833334,0.2456114,1.5590127,-0.7204296
device,2803.0856666250006,0.041597903,1.684581,-0.10422826
device,2803.095304583334,0.041618794,1.6848301,-0.10454189
device,2803.1056776250007,0.041631535,1.6850765,-0.104889005
device,2803.117069541667,0.041635036,1.6853261,-0.1052891
device,2803.1260292916672,0.041630104,1.6855012,-0.10560778
referenceObject,2803.126374583334,0.24551165,1.5590155,-0.7203768
device,2803.1357400416673,0.041619495,1.6856712,-0.10595515
referenceObject,2803.1371812916673,0.24549341,1.5590205,-0.7203265
device,2803.146175833334,0.04160142,1.6858332,-0.10632861
device,2803.156076916667,0.041583538,1.6859758,-0.10668439
device,2803.166376708334,0.041567042,1.6860925,-0.1070818
referenceObject,2803.167255833334,0.24537838,1.5590146,-0.72026604
device,2803.1763849166673,0.04155624,1.6861819,-0.10749769
device,2803.1861182500006,0.041555345,1.6862754,-0.10790056
device,2803.196640583334,0.04156822,1.6863862,-0.10831833
referenceObject,2803.197273833334,0.24536055,1.5590192,-0.72021717
device,2803.2065736666673,0.041597247,1.6865106,-0.10872775
device,2803.2168931666674,0.041645706,1.6866571,-0.10914302
device,2803.2262940000005,0.04171264,1.6868238,-0.10956222
referenceObject,2803.226849708334,0.24523991,1.5590279,-0.72016305
device,2803.236228958334,0.04179901,1.6870191,-0.110000014
device,2803.2461057083337,0.041885316,1.6872454,-0.11047405
device,2803.256285833334,0.04200077,1.6874919,-0.11097467
referenceObject,2803.263728708334,0.24521542,1.5590281,-0.7201318
device,2803.2662670000004,0.042140424,1.6877353,-0.111471176
device,2803.276348458334,0.042310297,1.6879724,-0.111977994
device,2803.285965083334,0.042504996,1.6881863,-0.11247187
referenceObject,2803.287020083334,0.24509439,1.5590132,-0.7200993
device,2803.2960388750007,0.042740718,1.6883867,-0.11298618
device,2803.305336291667,0.042992145,1.6885478,-0.113463454
device,2803.3152299166672,0.043293595,1.6886802,-0.11396551
device,2803.325347333334,0.043650806,1.6887516,-0.11447692
referenceObject,2803.329500958334,0.24499023,1.5589707,-0.7201982
device,2803.3352355000006,0.044039503,1.6887621,-0.11496034
device,2803.345150750001,0.04447235,1.6887103,-0.11542359
referenceObject,2803.3472270000007,0.24492216,1.5589118,-0.7204078
device,2803.355125333334,0.04495716,1.688602,-0.115866065
device,2803.365252208334,0.045497626,1.6884463,-0.11628484
device,2803.375300500001,0.04610169,1.6882474,-0.116680086
device,2803.3859602916673,0.04678929,1.6880141,-0.11705482
device,2803.394870833334,0.04741919,1.6878095,-0.11733979
referenceObject,2803.3953077500005,0.2449581,1.5588878,-0.7206077
device,2803.404746583334,0.048155308,1.6875958,-0.117616475
referenceObject,2803.4074061666674,0.24490076,1.5588356,-0.7208099
device,2803.414738958334,0.048945963,1.6874032,-0.11785674
device,2803.4248068750007,0.04978037,1.687257,-0.1180529
device,2803.435156708334,0.050702333,1.6871552,-0.11821133
referenceObject,2803.4435226250007,0.2448422,1.5588448,-0.720844
device,2803.444810583334,0.051612556,1.6871052,-0.11831677
device,2803.4548861250005,0.052598655,1.6871092,-0.118386984
device,2803.4651411250006,0.053660452,1.6871855,-0.118427396
device,2803.4752087916672,0.054739535,1.6873333,-0.1184414
referenceObject,2803.4815128750006,0.24482778,1.5589066,-0.7208769
device,2803.4855105416673,0.055891097,1.6875503,-0.11843395
device,2803.4952913750008,0.05704893,1.687808,-0.1184068
referenceObject,2803.498568333334,0.24484137,1.5589011,-0.72091645
device,2803.505237458334,0.058251083,1.6880891,-0.11835998
device,2803.515119208334,0.059495628,1.6883786,-0.11828703
device,2803.5252408750007,0.060786128,1.688683,-0.11816949
device,2803.5351734166675,0.062090755,1.6889484,-0.118037045
referenceObject,2803.5410033750004,0.24485525,1.5588953,-0.720957
device,2803.5451565000008,0.06345309,1.689179,-0.11788693
device,2803.555434166667,0.06490441,1.6893709,-0.117720276
referenceObject,2803.558677166667,0.24493971,1.5588934,-0.72094196
device,2803.5652991666675,0.06634177,1.68951,-0.11755291
device,2803.574350000001,0.06771839,1.6895959,-0.11739367
device,2803.584269291667,0.06924981,1.6896439,-0.11721909
device,2803.5946249166673,0.070905745,1.689638,-0.11703837
device,2803.604962958334,0.07258715,1.6895576,-0.11686304
referenceObject,2803.605514291667,0.24502146,1.5588357,-0.7209402
device,2803.6150845416673,0.07429589,1.6894181,-0.11667445
device,2803.6249891250004,0.07600142,1.6892174,-0.1164678
referenceObject,2803.629139625001,0.24493924,1.5588306,-0.7205798
device,2803.634992083334,0.07776101,1.688946,-0.1162332
device,2803.645323916667,0.079601884,1.6886048,-0.115961134
referenceObject,2803.647615833334,0.2449786,1.5587972,-0.72081727
device,2803.6549129166674,0.08136335,1.6882371,-0.11567222
device,2803.6648357500007,0.08319421,1.6878293,-0.11534783
device,2803.675204208334,0.085109144,1.6874025,-0.11498772
referenceObject,2803.6774594166673,0.24462566,1.5589304,-0.7193242
device,2803.6850480416674,0.08698702,1.6870043,-0.11461234
device,2803.6951356250006,0.08892536,1.6866179,-0.11420661
device,2803.7051517916675,0.090875685,1.6862543,-0.11377764
referenceObject,2803.707447208334,0.24394122,1.5593224,-0.7150205
device,2803.715131166667,0.09285933,1.6859125,-0.11332399
device,2803.7247510416673,0.094817996,1.6856234,-0.112867296
device,2803.735168833334,0.096944585,1.6853902,-0.11237058
referenceObject,2803.738234708334,0.24397278,1.5592916,-0.7152416
device,2803.745170083334,0.09904361,1.6852636,-0.111885786
device,2803.755022666667,0.10114586,1.6852324,-0.11140883
device,2803.7651995000006,0.10335988,1.6852751,-0.11091107
referenceObject,2803.771536083334,0.24300084,1.559837,-0.7097196
device,2803.774818125001,0.105502665,1.68537,-0.11043042
device,2803.785040833334,0.1077093,1.6855028,-0.1099343
device,2803.795128708334,0.10997403,1.6856592,-0.10942882
device,2803.8052531250005,0.112241805,1.6858277,-0.108941376
device,2803.815022708334,0.114453495,1.6859772,-0.1084671
device,2803.825193458334,0.11674681,1.6861117,-0.107978754
device,2803.8352408750006,0.11903711,1.6862166,-0.10749796
device,2803.845037458334,0.12128168,1.6862859,-0.107032
device,2803.855157958334,0.1235818,1.6863157,-0.10655873
referenceObject,2803.862077916667,0.24261585,1.5599458,-0.70539576
device,2803.865015208334,0.12585801,1.6862972,-0.106092215
device,2803.874749083334,0.1281017,1.6862183,-0.10562396
referenceObject,2803.877058041667,0.24304083,1.5597715,-0.70528966
device,2803.885144958334,0.13048437,1.6860826,-0.10513199
referenceObject,2803.887495958334,0.2431266,1.5597687,-0.7046202
device,2803.895045333334,0.13277546,1.6859103,-0.10466557
device,2803.9045096666673,0.1350252,1.685709,-0.10421604
device,2803.916315458334,0.1377773,1.6854259,-0.103674166
device,2803.917341125001,0.13804418,1.6853957,-0.10362178
referenceObject,2803.9192771250005,0.2433264,1.5597515,-0.7044079
device,2803.9240730000006,0.13962156,1.685215,-0.10331339
device,2803.9341852500006,0.1420123,1.6849155,-0.102844656
device,2803.944320583334,0.14441794,1.6845888,-0.10237199
device,2803.954207541667,0.14678767,1.6842577,-0.1019228
referenceObject,2803.9607889166673,0.24390179,1.5597136,-0.70488554
device,2803.9642317500006,0.14919718,1.6839099,-0.10145852
device,2803.974237000001,0.15161479,1.6835575,-0.10098559
device,2803.984197458334,0.15404083,1.6832078,-0.10050377
