device,time,x,y,z
device,2212.3092910000005,-0.021088004,1.4908692,-0.31553358
referenceObject,2212.3101657500006,-0.4745028,1.4435949,-0.84717023
device,2212.315509916667,-0.021134853,1.490862,-0.31556565
device,2212.3261378333336,-0.021219373,1.4908469,-0.315619
device,2212.335828416667,-0.021302938,1.4908334,-0.3156669
referenceObject,2212.337492541667,-0.47452295,1.4435936,-0.8471924
device,2212.3465478750004,-0.021403909,1.4908183,-0.3157177
device,2212.3574815416673,-0.021515667,1.4908016,-0.3157654
device,2212.3664050000007,-0.021613717,1.4907861,-0.31580216
referenceObject,2212.367291791667,-0.47454357,1.4435922,-0.8472152
device,2212.376156833334,-0.021725148,1.4907669,-0.3158395
device,2212.3860354166673,-0.021841109,1.4907444,-0.31587705
device,2212.395704791667,-0.021959305,1.4907222,-0.3159147
referenceObject,2212.3972460000005,-0.47456372,1.4435909,-0.8472372
device,2212.4061691250004,-0.022092074,1.490699,-0.31595764
device,2212.416260166667,-0.022220194,1.490677,-0.31600323
device,2212.426502416667,-0.02235055,1.4906583,-0.31605417
referenceObject,2212.433636541667,-0.47451913,1.4436893,-0.84720063
device,2212.4363878750005,-0.02247572,1.4906421,-0.3161046
device,2212.446614291667,-0.022603482,1.4906255,-0.31615707
device,2212.4574138750004,-0.022740006,1.4906088,-0.31621665
referenceObject,2212.457844041667,-0.47452867,1.4436911,-0.84720635
device,2212.466645291667,-0.022855282,1.4905938,-0.31626815
device,2212.476226833334,-0.022976875,1.490576,-0.3163231
device,2212.4861207083336,-0.023100495,1.4905585,-0.31638116
referenceObject,2212.4872662916673,-0.4745381,1.4436927,-0.84721184
device,2212.4960822916673,-0.023228288,1.490546,-0.31644374
device,2212.506141541667,-0.02336061,1.4905431,-0.31651777
device,2212.506895166667,-0.023370564,1.490544,-0.31652346
device,2212.5162458750005,-0.023495674,1.4905583,-0.31659192
referenceObject,2212.5180287500007,-0.47454715,1.4436942,-0.8472173
device,2212.526477166667,-0.023641348,1.4905958,-0.3166731
device,2212.5363066250006,-0.023788095,1.4906552,-0.31675196
device,2212.5465822500005,-0.023949087,1.4907427,-0.3168402
referenceObject,2212.5476950416673,-0.47445774,1.4438576,-0.8471825
device,2212.5564817083336,-0.02411431,1.490853,-0.3169326
device,2212.5663045000006,-0.024289608,1.4909904,-0.31703585
device,2212.5771740000005,-0.024496078,1.4911709,-0.3171655
referenceObject,2212.582566458334,-0.47446644,1.4438593,-0.8471874
device,2212.586151583334,-0.024683923,1.491344,-0.31729123
device,2212.5963631250006,-0.024907917,1.4915519,-0.31745133
device,2212.6064175416673,-0.025140405,1.4917654,-0.31762946
referenceObject,2212.6135052500003,-0.47445154,1.4438595,-0.8471687
device,2212.616783166667,-0.025391906,1.4919889,-0.3178284
device,2212.6266930416673,-0.025654197,1.4922128,-0.31804383
device,2212.6359552500003,-0.025907516,1.4924212,-0.31826133
referenceObject,2212.6374022083337,-0.47443712,1.4438598,-0.8471501
device,2212.6457855000003,-0.026186585,1.4926426,-0.31851012
device,2212.6557900833336,-0.026480913,1.4928653,-0.3187822
device,2212.6658281250006,-0.026782393,1.4930803,-0.31907117
referenceObject,2212.6670776250003,-0.47414374,1.4438472,-0.84717786
device,2212.6758737500004,-0.02709341,1.4932861,-0.31937617
device,2212.685830541667,-0.027413487,1.4934788,-0.31969488
device,2212.696763541667,-0.027772307,1.4936697,-0.32006752
referenceObject,2212.698154958334,-0.47412872,1.4438474,-0.8471595
device,2212.7064199583338,-0.028113425,1.4938283,-0.320452
device,2212.716509416667,-0.028475285,1.4939679,-0.3208722
device,2212.726841916667,-0.028881192,1.4940838,-0.3213287
referenceObject,2212.7283121666674,-0.47382104,1.4437153,-0.84713125
device,2212.7373178750004,-0.029327095,1.4941525,-0.32180646
device,2212.746703958334,-0.029746532,1.4941485,-0.3222248
device,2212.756908958334,-0.030247211,1.4940526,-0.3226806
referenceObject,2212.7580445000003,-0.47380698,1.4437153,-0.8471134
device,2212.766466458334,-0.03074634,1.4938657,-0.32308733
device,2212.7761767500006,-0.031287163,1.4936055,-0.32345745
device,2212.7862786250007,-0.031891584,1.4932972,-0.32378602
referenceObject,2212.791009041667,-0.47370505,1.4434862,-0.84704065
device,2212.795919791667,-0.032524705,1.4929904,-0.32404548
device,2212.805218583334,-0.033196807,1.4926957,-0.32424146
device,2212.8154787500007,-0.034003735,1.4923849,-0.3243788
referenceObject,2212.8177392916673,-0.47370172,1.4431593,-0.847137
device,2212.825543208334,-0.034873486,1.4921011,-0.3244254
device,2212.835378083334,-0.035814345,1.4918442,-0.32440045
device,2212.845448666667,-0.03684157,1.4916252,-0.32429197
referenceObject,2212.8474591666672,-0.47370124,1.4431628,-0.8471427
device,2212.855415333334,-0.037950754,1.4914311,-0.3240977
device,2212.8653357500007,-0.03913486,1.4912555,-0.32381266
device,2212.875410541667,-0.04042566,1.4910882,-0.32342136
referenceObject,2212.8780296666673,-0.4736992,1.4431665,-0.8471457
device,2212.8853992500003,-0.04180178,1.4909326,-0.32293025
device,2212.8952761250007,-0.043253183,1.4907839,-0.3223415
device,2212.905733666667,-0.044885516,1.4906248,-0.321611
device,2212.9069197500003,-0.045081913,1.490605,-0.3215188
referenceObject,2212.9077602916673,-0.47349083,1.4429492,-0.84699726
device,2212.9151368333337,-0.04643646,1.490469,-0.32085598
device,2212.9250763750006,-0.048163176,1.4902877,-0.31995952
device,2212.9351171250005,-0.05000633,1.4900781,-0.31895134
referenceObject,2212.9373543750003,-0.4735552,1.4430041,-0.8468206
device,2212.9451065833337,-0.051919788,1.4898345,-0.31785783
device,2212.9548966250004,-0.053908467,1.4895372,-0.3166855
device,2212.9651130416673,-0.05606994,1.4891545,-0.31537357
referenceObject,2212.973177291667,-0.4741398,1.4430449,-0.84715724
device,2212.975022541667,-0.058286548,1.488702,-0.31399333
device,2212.9849979583337,-0.06061399,1.488171,-0.31251258
device,2212.9950742500005,-0.06306481,1.4875697,-0.31092328
referenceObject,2212.9977700000004,-0.47453153,1.4429685,-0.8477185
device,2213.005110083334,-0.06562579,1.4869105,-0.3092398
device,2213.015033333334,-0.06823838,1.4862232,-0.3075056
device,2213.0251217083337,-0.07097769,1.4855037,-0.30567378
referenceObject,2213.0272635000006,-0.4751141,1.4428904,-0.84803843
device,2213.0352360000006,-0.073830605,1.4847693,-0.30377847
device,2213.0451523750003,-0.07672751,1.484047,-0.30190283
device,2213.055242833334,-0.07977557,1.483314,-0.29993707
referenceObject,2213.0580418750005,-0.47566545,1.4427577,-0.8483716
device,2213.0652171250003,-0.08285332,1.4826074,-0.29796332
device,2213.075157958334,-0.08603141,1.4819219,-0.2959356
device,2213.0853114583338,-0.08935845,1.4812658,-0.2938257
referenceObject,2213.0878305416672,-0.4762299,1.4425571,-0.8486694
device,2213.0952432500003,-0.0927026,1.4806775,-0.2917224
device,2213.1051660833336,-0.096137285,1.4801445,-0.2895794
device,2213.115347041667,-0.09971434,1.4796555,-0.2873396
referenceObject,2213.118013833334,-0.47655582,1.4424948,-0.84918344
device,2213.1252716250006,-0.10327053,1.479245,-0.28509498
device,2213.1351469583337,-0.1069113,1.4789106,-0.28279907
device,2213.145317583334,-0.11074424,1.4786626,-0.2803864
referenceObject,2213.1539442916674,-0.47512805,1.4420629,-0.8457291
device,2213.1550985000003,-0.114542335,1.4785185,-0.27800623
device,2213.1652020416673,-0.11854136,1.4784442,-0.27551526
device,2213.1751624166673,-0.122587204,1.4784057,-0.27300954
referenceObject,2213.1781642500005,-0.47547412,1.4419616,-0.8458028
device,2213.185155666667,-0.12672043,1.4783679,-0.27045298
device,2213.1950533750005,-0.1308552,1.4783232,-0.26788944
device,2213.2053196250004,-0.13522232,1.4783102,-0.2651661
referenceObject,2213.2075979583337,-0.47249937,1.4423833,-0.83967865
device,2213.2152151250007,-0.1394566,1.4784558,-0.26250044
device,2213.2251128750004,-0.14377174,1.4788939,-0.25979277
device,2213.235294666667,-0.14829528,1.479667,-0.2570395
referenceObject,2213.2379934583337,-0.47368813,1.442313,-0.8411809
device,2213.2464122500005,-0.15333831,1.480756,-0.2540983
device,2213.247602333334,-0.15391311,1.4808855,-0.25376818
device,2213.254470583334,-0.15703759,1.4815788,-0.25197855
device,2213.264652708334,-0.16166651,1.4825358,-0.24931711
referenceObject,2213.2677561250007,-0.47404778,1.4423575,-0.84055185
device,2213.274513416667,-0.16621709,1.4833753,-0.24665278
device,2213.2846274166673,-0.17075953,1.4841354,-0.2439427
device,2213.294539708334,-0.17527068,1.4848504,-0.24121612
referenceObject,2213.2979219166673,-0.47164774,1.4429655,-0.83575726
device,2213.3044452500003,-0.17973673,1.4855328,-0.2385033
device,2213.3144525416674,-0.18416905,1.4861543,-0.23582909
device,2213.324507791667,-0.18855083,1.4867244,-0.23315924
referenceObject,2213.333582791667,-0.4721049,1.4429725,-0.8359382
device,2213.334415791667,-0.19282591,1.4872367,-0.230533
device,2213.344431333334,-0.19705927,1.487706,-0.22792208
device,2213.3544696250005,-0.201235,1.4881524,-0.22534612
referenceObject,2213.358137958334,-0.47239566,1.4432648,-0.8352444
device,2213.364552166667,-0.20531988,1.4885943,-0.22283477
device,2213.3744877500003,-0.20929706,1.489044,-0.2204049
device,2213.384561166667,-0.21320796,1.4895164,-0.21802062
referenceObject,2213.3877436250004,-0.47247136,1.443605,-0.83395946
device,2213.394488291667,-0.21694005,1.4900098,-0.21573201
device,2213.404364333334,-0.22057232,1.4904946,-0.21351902
device,2213.414484416667,-0.22411752,1.4909564,-0.21136194
referenceObject,2213.418164958334,-0.4727441,1.4436276,-0.8336849
device,2213.4244468750003,-0.22751975,1.4913998,-0.20928338
device,2213.434592041667,-0.23082203,1.4918569,-0.20726475
device,2213.444730541667,-0.23402858,1.4923491,-0.20531955
referenceObject,2213.449069666667,-0.4727615,1.4437257,-0.83188426
device,2213.454737333334,-0.23715565,1.4928833,-0.20344822
device,2213.464481083334,-0.24006137,1.4934239,-0.20172821
device,2213.474483833334,-0.24294102,1.4939933,-0.20003885
referenceObject,2213.4790192083337,-0.47331202,1.443685,-0.8320863
device,2213.4844743333338,-0.24573684,1.4945703,-0.19841138
device,2213.494409583334,-0.24838603,1.4951291,-0.19686565
device,2213.5044747916672,-0.25095868,1.4956769,-0.19537586
device,2213.5146133750004,-0.25346732,1.4962093,-0.19393355
referenceObject,2213.515310958334,-0.4741552,1.4437008,-0.83176327
device,2213.5245232916673,-0.2558406,1.4967074,-0.19257954
device,2213.534683041667,-0.25820744,1.4971898,-0.19124433
referenceObject,2213.539675208334,-0.4744768,1.4437813,-0.8311852
device,2213.5445071666672,-0.26039895,1.4976133,-0.19002263
device,2213.5545122500007,-0.26259196,1.4980032,-0.18881387
device,2213.5648435833336,-0.26467776,1.4983339,-0.18767759
referenceObject,2213.5676587916673,-0.47511852,1.44398,-0.8304118
device,2213.574615208334,-0.26665968,1.4986078,-0.18661404
device,2213.584569916667,-0.26860416,1.4988438,-0.1855914
device,2213.5945914166673,-0.27044553,1.4990484,-0.18466431
referenceObject,2213.598761833334,-0.47551095,1.4440737,-0.8300227
device,2213.6045777500003,-0.2722301,1.499218,-0.18378913
device,2213.6145075833338,-0.27392802,1.4993478,-0.18298455
device,2213.624694458334,-0.27559757,1.4994256,-0.18221986
referenceObject,2213.629162208334,-0.476205,1.4441984,-0.82940507
device,2213.6344355416672,-0.27714992,1.4994389,-0.18152979
device,2213.6445392500004,-0.27866685,1.4993914,-0.18087643
device,2213.654565541667,-0.2801325,1.4992908,-0.18027104
referenceObject,2213.658427291667,-0.47682285,1.4441273,-0.82958806
device,2213.664583958334,-0.28151035,1.4991522,-0.17970264
device,2213.6744987916672,-0.28282154,1.4989785,-0.17915568
device,2213.6847036666672,-0.28412664,1.498748,-0.17865455
device,2213.6944975000006,-0.28533742,1.4984735,-0.1782345
