device,time,x,y,z
device,1910.3189197083339,-0.058437765,1.4861563,-0.34133402
referenceObject,1910.320331666667,-0.46870613,1.4461956,-0.84137166
device,1910.3234041666672,-0.058455467,1.4861603,-0.34135687
device,1910.3336752083337,-0.058501124,1.4861724,-0.34141707
device,1910.3430046250005,-0.058543205,1.4861829,-0.34147316
referenceObject,1910.3444015000005,-0.468701,1.4461911,-0.8413663
device,1910.3525036250005,-0.058588803,1.4861898,-0.3415331
device,1910.3624840000004,-0.058636636,1.4861922,-0.34159824
device,1910.3736427500005,-0.05868566,1.4861902,-0.3416657
referenceObject,1910.377565916667,-0.46872544,1.4461292,-0.8413062
device,1910.3836272916672,-0.05873391,1.4861829,-0.3417361
device,1910.3929835000004,-0.058775425,1.4861718,-0.3417976
device,1910.4027801250004,-0.058820844,1.4861587,-0.34186321
referenceObject,1910.403770791667,-0.46872056,1.4461249,-0.8413007
device,1910.4124601250005,-0.05886972,1.4861447,-0.34192795
device,1910.422841416667,-0.0589211,1.4861313,-0.3420002
device,1910.4323566250005,-0.058969855,1.4861217,-0.3420689
referenceObject,1910.4395617083337,-0.46870518,1.4461219,-0.8412962
device,1910.4419287916671,-0.059017062,1.4861127,-0.34213895
device,1910.4520944583337,-0.05906415,1.4861058,-0.34221637
device,1910.4625331250004,-0.059108138,1.4860973,-0.34229648
referenceObject,1910.4639135833338,-0.46868968,1.4461188,-0.8412918
device,1910.473201416667,-0.059146225,1.4860889,-0.34237716
device,1910.4840907083337,-0.059178323,1.4860804,-0.342464
device,1910.492907291667,-0.059199154,1.4860768,-0.3425345
referenceObject,1910.4939558750004,-0.4686302,1.4461514,-0.8412545
device,1910.5024661250004,-0.05921784,1.4860768,-0.34261554
device,1910.5123163333337,-0.05925095,1.4860795,-0.34270138
device,1910.5237480000005,-0.059292138,1.4860905,-0.34280458
device,1910.5246013750004,-0.059295475,1.4860919,-0.34281257
referenceObject,1910.5251305833337,-0.46861494,1.4461485,-0.8412496
device,1910.5320266250005,-0.059324116,1.4861039,-0.34288034
device,1910.5424269583339,-0.05936849,1.4861267,-0.3429765
device,1910.5522507916671,-0.059414446,1.4861549,-0.3430731
referenceObject,1910.5540190000004,-0.4686004,1.4461455,-0.84124553
device,1910.5622966250005,-0.059467077,1.48619,-0.34317356
device,1910.5729635000005,-0.059530497,1.4862298,-0.34327984
device,1910.5832493333337,-0.05960104,1.4862685,-0.34338447
referenceObject,1910.5841854166672,-0.46858585,1.4461427,-0.8412416
device,1910.5930155000003,-0.05967948,1.4863108,-0.34348843
device,1910.6030238750004,-0.059762955,1.486354,-0.34359318
device,1910.6130652500003,-0.059858024,1.4864031,-0.34370843
referenceObject,1910.6199891250005,-0.46854055,1.4461339,-0.8411926
device,1910.623196291667,-0.05995512,1.4864519,-0.3438245
device,1910.6324943750003,-0.060055345,1.4864991,-0.34394154
device,1910.6428828333337,-0.060168505,1.4865456,-0.34407598
referenceObject,1910.6438943750004,-0.46852863,1.4461304,-0.8411883
device,1910.6522555000004,-0.060273856,1.4865837,-0.34420124
device,1910.6623330416671,-0.060387373,1.4866143,-0.3443421
device,1910.6721302083338,-0.06050062,1.4866332,-0.3444857
referenceObject,1910.6735635833338,-0.46851718,1.4461269,-0.8411844
device,1910.6822105000003,-0.060617566,1.4866413,-0.3446368
device,1910.6921938750004,-0.06073594,1.4866391,-0.34479326
device,1910.7021906250004,-0.060854077,1.4866261,-0.34495312
referenceObject,1910.7044159583338,-0.46850646,1.4461236,-0.84118116
device,1910.712106541667,-0.06096813,1.4866014,-0.34511343
device,1910.7222663750003,-0.06108284,1.4865705,-0.3452782
device,1910.7320699166671,-0.061190248,1.4865378,-0.34543633
referenceObject,1910.733896666667,-0.4683057,1.4460248,-0.84118164
device,1910.7421160833337,-0.0612987,1.4865104,-0.34559724
device,1910.752969791667,-0.061414838,1.4864953,-0.34576964
device,1910.7625427083337,-0.061522692,1.4865,-0.3459256
referenceObject,1910.7640565000004,-0.46829474,1.4460216,-0.8411778
device,1910.7718556250004,-0.0616301,1.4865305,-0.3460749
device,1910.7824642500004,-0.061763853,1.4866021,-0.34624383
device,1910.792562291667,-0.061901778,1.4867095,-0.34639695
device,1910.802247041667,-0.062048197,1.4868528,-0.3465399
referenceObject,1910.8032172083338,-0.4682815,1.4460175,-0.8411745
device,1910.8118683333337,-0.062211037,1.4870396,-0.34667653
device,1910.822107541667,-0.06240642,1.4872907,-0.34681427
referenceObject,1910.8273952500003,-0.4682685,1.4460137,-0.8411715
device,1910.831283541667,-0.06259847,1.4875534,-0.3469345
device,1910.8416246250003,-0.06284034,1.4878945,-0.34707177
device,1910.8517712500004,-0.063096404,1.4882557,-0.34720153
referenceObject,1910.8538289583337,-0.4680221,1.4460809,-0.84116554
device,1910.8616715000005,-0.06339845,1.4886304,-0.3473089
device,1910.8716485416671,-0.06373429,1.4890243,-0.34740412
device,1910.8816905833337,-0.06414282,1.4894302,-0.3474676
referenceObject,1910.8842928750005,-0.4680096,1.4460771,-0.8411627
device,1910.8918464583337,-0.0646047,1.4898359,-0.34751162
device,1910.901974791667,-0.065117,1.4902229,-0.34752893
device,1910.9125103333338,-0.06570646,1.4905928,-0.34751138
referenceObject,1910.9145745833337,-0.46795833,1.4458046,-0.84107804
device,1910.922434416667,-0.06631827,1.4909025,-0.34745574
device,1910.9244823333338,-0.066456795,1.4909632,-0.34743804
device,1910.9314036666672,-0.06692368,1.4911451,-0.34736696
device,1910.9415600000004,-0.06768137,1.4913758,-0.34721294
referenceObject,1910.9440451250005,-0.46794546,1.4458008,-0.84107447
device,1910.9515045000005,-0.06848818,1.4915516,-0.34699735
device,1910.961422291667,-0.06936425,1.4916983,-0.34672025
device,1910.9715113333339,-0.07033366,1.4918147,-0.34636524
referenceObject,1910.9800708333337,-0.46807265,1.4455073,-0.8409265
device,1910.9815491250004,-0.07137644,1.491889,-0.3459332
device,1910.9915912500005,-0.07247242,1.4919167,-0.3454272
device,1911.001806291667,-0.07369411,1.4919007,-0.3448037
referenceObject,1911.0070909583337,-0.46826875,1.4451418,-0.8407273
device,1911.0117753333338,-0.07495129,1.4918487,-0.34410375
device,1911.0216165833338,-0.07628104,1.4917712,-0.3433132
device,1911.0317343750005,-0.07770759,1.4916762,-0.34241894
referenceObject,1911.0351762500004,-0.4685439,1.4447861,-0.84048367
device,1911.0414684583338,-0.07915574,1.4915739,-0.34147647
device,1911.0514407083338,-0.08073181,1.4914606,-0.3404213
device,1911.0617720833338,-0.08245766,1.4913459,-0.33924168
referenceObject,1911.0658024583338,-0.46855175,1.444786,-0.8404876
device,1911.0716290416672,-0.08419633,1.4912249,-0.3380412
device,1911.0822352500004,-0.08616614,1.4910882,-0.33667815
device,1911.0910668333338,-0.08786827,1.4909811,-0.33550385
referenceObject,1911.0942255000004,-0.46889436,1.44453,-0.8402275
device,1911.1012176250003,-0.0899702,1.490863,-0.3340678
device,1911.1115087083338,-0.09213075,1.4907497,-0.33260867
device,1911.1213531666672,-0.09432781,1.4906253,-0.33113813
referenceObject,1911.1239880416672,-0.46925926,1.4442903,-0.8399683
device,1911.1314128750005,-0.09665358,1.4904596,-0.32959688
device,1911.1414965000004,-0.099041075,1.4902518,-0.32802078
device,1911.1517888333337,-0.10156143,1.4899861,-0.3263629
device,1911.1617103333338,-0.10410723,1.4896637,-0.3246918
referenceObject,1911.1700962083337,-0.46960306,1.4440135,-0.8397002
device,1911.1717260000005,-0.10670966,1.4892842,-0.32298937
device,1911.1812682500004,-0.109303474,1.4888644,-0.32129687
referenceObject,1911.1867230833338,-0.46960294,1.444011,-0.83968806
device,1911.1916832500003,-0.11212742,1.4883705,-0.31945544
device,1911.2015238750005,-0.114911914,1.4878591,-0.31764317
device,1911.2134145416671,-0.118359655,1.4872227,-0.31540415
device,1911.2147610833338,-0.118769854,1.4871479,-0.31513765
referenceObject,1911.215371541667,-0.4699309,1.4438051,-0.8394284
device,1911.2207227500005,-0.120526075,1.4868304,-0.31399882
device,1911.2307668750004,-0.1235522,1.4862964,-0.31205022
device,1911.2407120000005,-0.12662789,1.4857659,-0.31008604
referenceObject,1911.244398166667,-0.47020996,1.4437556,-0.8392035
