device,time,x,y,z
device,992.8080610416669,0.010690868,1.7068332,-0.11358565
device,992.8092166666669,0.010696444,1.7068362,-0.113579355
device,992.8205697083336,0.0107416585,1.7068633,-0.11351658
device,992.8316390416669,0.010778755,1.7068942,-0.11345282
referenceObject,992.8323504166669,-0.17591184,1.6543374,-0.72074556
device,992.8415818750002,0.01080659,1.7069244,-0.11339447
device,992.8517617916668,0.010832046,1.7069557,-0.11333425
referenceObject,992.8524216250003,-0.17591035,1.6542779,-0.72075653
device,992.8617957083336,0.010856181,1.7069857,-0.11327484
device,992.8717537916668,0.010881364,1.7070118,-0.11321622
device,992.8819513333335,0.010910216,1.7070341,-0.11315846
device,992.8907196666669,0.010939266,1.7070504,-0.113111004
device,992.9002795000002,0.010973874,1.7070682,-0.11306166
device,992.9102440416668,0.0110113025,1.707089,-0.113015294
referenceObject,992.9122717500002,-0.1759075,1.6542742,-0.72075343
device,992.9212838750002,0.011054787,1.707116,-0.112961166
device,992.9310136250002,0.01109305,1.7071409,-0.11290699
device,992.9412631666669,0.011132534,1.7071693,-0.112846985
referenceObject,992.9420852083335,-0.175906,1.6542722,-0.72075164
device,992.9508039166669,0.011167347,1.707196,-0.112792045
device,992.9519540416669,0.011171433,1.7071992,-0.112785004
device,992.9601981666668,0.011199738,1.707221,-0.11273582
device,992.9704782083336,0.01123375,1.7072456,-0.112673305
referenceObject,992.9718157083336,-0.17569691,1.6541653,-0.7203704
device,992.9811235416669,0.011267453,1.7072704,-0.11260542
device,992.9907557916669,0.011296034,1.7072921,-0.112541676
device,993.0010224166668,0.0113251805,1.7073143,-0.11247286
referenceObject,993.0015248750002,-0.17573178,1.6541646,-0.7204671
device,993.0109765833336,0.01135236,1.7073374,-0.11240652
device,993.0214994166669,0.0113810925,1.7073641,-0.11233508
device,993.0306120416669,0.011406571,1.7073886,-0.1122722
device,993.0410603750003,0.011433423,1.7074208,-0.112197846
device,993.0417963333335,0.0114352405,1.707423,-0.11219224
referenceObject,993.0425025833335,-0.17573035,1.6541629,-0.7204658
device,993.0500654583335,0.011453688,1.7074505,-0.11213195
device,993.0599619166669,0.011471987,1.707485,-0.11205676
referenceObject,993.0678992083335,-0.17573464,1.65416,-0.72047603
device,993.0708037500002,0.011487126,1.7075253,-0.11196932
device,993.0807758333335,0.011495355,1.7075639,-0.11188208
device,993.0911311666669,0.011498156,1.7076055,-0.111786895
device,993.1011141666669,0.01149565,1.7076471,-0.11168897
referenceObject,993.1016661666669,-0.17568672,1.6540349,-0.7204931
device,993.1114397083336,0.011487844,1.7076949,-0.11158603
device,993.1216782083336,0.01147598,1.7077458,-0.111480445
referenceObject,993.1224767916669,-0.17569095,1.6540318,-0.720503
device,993.1315020000002,0.01145983,1.7077987,-0.1113761
device,993.1413673333335,0.011439207,1.7078538,-0.11126848
device,993.1519484583335,0.011413932,1.7079152,-0.11114994
device,993.1618027083335,0.011386573,1.7079735,-0.111034095
referenceObject,993.1636158333336,-0.17569506,1.6540289,-0.72051275
device,993.1716744166669,0.011357968,1.7080308,-0.110917464
device,993.1816724583335,0.011324376,1.7080894,-0.11079541
referenceObject,993.1823909166669,-0.17569941,1.6540258,-0.7205225
device,993.1915477083336,0.011285424,1.7081515,-0.11067048
device,993.2013340416669,0.011236727,1.7082182,-0.11054978
device,993.2119473333336,0.011176825,1.7082963,-0.11041829
referenceObject,993.2141759583335,-0.17555952,1.6538182,-0.7205602
device,993.2216280000002,0.01111272,1.7083764,-0.1102981
device,993.2314003333336,0.01104027,1.7084618,-0.110176474
device,993.2417756666669,0.010956585,1.7085551,-0.11004487
referenceObject,993.2479288750002,-0.1755585,1.6538163,-0.72055006
device,993.2516569166669,0.010871652,1.7086469,-0.10991826
device,993.2612223333335,0.010784924,1.7087383,-0.10979402
device,993.2714757083336,0.0106875,1.7088385,-0.10965845
referenceObject,993.2722457500003,-0.1755575,1.6538143,-0.7205398
device,993.2810245833335,0.010593571,1.7089323,-0.1095284
device,993.2903130416669,0.010499477,1.7090234,-0.10940069
device,993.2997077500003,0.010402381,1.709114,-0.10927436
device,993.3096900000003,0.010297569,1.7092099,-0.10914343
referenceObject,993.3119981250002,-0.17555648,1.6538124,-0.72052944
device,993.3207053750002,0.010177645,1.7093204,-0.10900243
device,993.3306973333335,0.010066807,1.7094232,-0.10887802
referenceObject,993.3322943333336,-0.17528296,1.6534761,-0.7205576
device,993.3404203750002,0.009958088,1.709523,-0.10875934
device,993.3499008750002,0.009849608,1.7096187,-0.10864344
device,993.3605345416669,0.009728402,1.7097191,-0.10851538
device,993.3704747500002,0.009610146,1.709807,-0.10839197
referenceObject,993.3754117083336,-0.175282,1.653474,-0.72054696
