device,time,x,y,z
device,5499.569032458335,0.85711384,1.549847,-0.67827314
device,5499.5727274166675,0.85709924,1.5498562,-0.678278
device,5499.583570375001,0.85706085,1.5498778,-0.6782895
referenceObject,5499.584214083335,0.744641,1.5196631,0.06347048
device,5499.593507583335,0.8570406,1.5498948,-0.6782994
device,5499.604298041668,0.8570071,1.5499141,-0.6783062
device,5499.613332750001,0.8569714,1.5499326,-0.678309
referenceObject,5499.614416291668,0.7446312,1.5196545,0.0634796
device,5499.623783458334,0.8569199,1.5499544,-0.67831045
device,5499.633721916668,0.8568607,1.5499738,-0.6783097
device,5499.643566625001,0.8567955,1.5499935,-0.67830724
referenceObject,5499.644852083335,0.74462134,1.519646,0.06348884
device,5499.653391541668,0.8567233,1.5500098,-0.6783024
device,5499.663373333335,0.856639,1.5500243,-0.6782952
device,5499.673528166668,0.8565454,1.5500389,-0.6782864
device,5499.6833822083345,0.85645276,1.5500549,-0.67828137
referenceObject,5499.687635833335,0.7445741,1.5196221,0.06351733
device,5499.692987250001,0.85635376,1.5500739,-0.6782715
device,5499.702874500002,0.856248,1.5500958,-0.67825776
referenceObject,5499.704089875001,0.74455893,1.519619,0.06353569
device,5499.713331083334,0.85612684,1.5501176,-0.67823863
device,5499.723315375001,0.8560029,1.5501347,-0.6782157
device,5499.733411791668,0.8558696,1.5501498,-0.6781881
device,5499.743442166668,0.8557341,1.5501642,-0.6781586
referenceObject,5499.744227000001,0.74454415,1.5196159,0.06355417
device,5499.7531375416675,0.85559165,1.5501738,-0.6781265
device,5499.7637550416675,0.8554379,1.5501773,-0.67808855
device,5499.764817250001,0.85542417,1.5501773,-0.6780846
referenceObject,5499.765425791667,0.7445296,1.5196129,0.06357193
device,5499.773489083334,0.8553103,1.5501752,-0.67805266
device,5499.783320000001,0.8551764,1.5501657,-0.67801714
device,5499.793373791668,0.8550327,1.5501505,-0.6779798
referenceObject,5499.794049166668,0.7445041,1.5196025,0.06355864
device,5499.803631625001,0.85488206,1.550131,-0.6779421
device,5499.813571583334,0.85473526,1.5501114,-0.67790616
device,5499.8234851666675,0.8545785,1.5500915,-0.6778693
device,5499.833473708334,0.8544172,1.5500722,-0.6778332
referenceObject,5499.834836291668,0.74445343,1.5195985,0.06356943
device,5499.843746416668,0.8542445,1.5500574,-0.67779493
device,5499.853508250001,0.8540774,1.5500479,-0.6777598
referenceObject,5499.858626250001,0.74443704,1.5195951,0.06360549
device,5499.863343375001,0.85391015,1.5500426,-0.6777233
device,5499.873110041668,0.85376054,1.5500429,-0.6776766
device,5499.883144416668,0.8536081,1.5500453,-0.67763245
device,5499.893248625001,0.8534518,1.5500493,-0.6775902
referenceObject,5499.894746375001,0.74442047,1.5195918,0.0636425
device,5499.9033169583345,0.8532918,1.550057,-0.6775479
device,5499.913057708334,0.8531371,1.5500716,-0.6775055
referenceObject,5499.913913958335,0.7442879,1.519641,0.06363076
device,5499.922857875001,0.8529839,1.5500975,-0.67746055
device,5499.933120375002,0.85282326,1.5501392,-0.6774077
device,5499.943271166668,0.8526683,1.5501921,-0.67734736
device,5499.9530613333345,0.8525266,1.5502461,-0.6772798
referenceObject,5499.953485041668,0.74427015,1.519638,0.06366837
device,5499.963034916668,0.8523846,1.5503061,-0.6772055
device,5499.9732227916675,0.85223955,1.5503689,-0.67712367
referenceObject,5499.9742216250015,0.7442528,1.5196345,0.06370753
device,5499.983101541668,0.8521015,1.5504287,-0.67703944
device,5499.993101875001,0.85196525,1.5504853,-0.6769504
device,5500.003739833334,0.8518226,1.5505363,-0.67685294
referenceObject,5500.005152625001,0.7442353,1.519631,0.063746214
device,5500.013412125001,0.85169536,1.5505763,-0.67676175
device,5500.023040416668,0.8515713,1.550609,-0.67666864
device,5500.033167041668,0.85144424,1.5506358,-0.6765683
referenceObject,5500.038973375002,0.744059,1.5195887,0.063726306
device,5500.042901125001,0.8513361,1.5506464,-0.6764754
device,5500.052557666668,0.8512276,1.5506535,-0.6763787
device,5500.061997250001,0.8511216,1.5506568,-0.676281
referenceObject,5500.064246708334,0.7440424,1.5195861,0.0637511
device,5500.072061916668,0.851007,1.5506619,-0.6761708
device,5500.082102833335,0.8508881,1.5506649,-0.6760556
device,5500.092373916668,0.85076386,1.550669,-0.67593354
referenceObject,5500.0942047083345,0.7440267,1.5195837,0.063774824
device,5500.102647500001,0.8506331,1.5506736,-0.67580724
device,5500.112557250001,0.85049886,1.5506802,-0.6756799
device,5500.122878250001,0.85035324,1.550686,-0.6755471
referenceObject,5500.124508875001,0.7440112,1.5195812,0.06379825
device,5500.1321980833345,0.8502115,1.5506896,-0.67542374
device,5500.142416375002,0.8500554,1.55069,-0.67528677
device,5500.152457958335,0.84991515,1.5506738,-0.67514116
device,5500.162884708335,0.8497578,1.5506591,-0.6749916
device,5500.164095041668,0.8497363,1.5506581,-0.6749719
referenceObject,5500.167068291667,0.74383074,1.5195351,0.06375563
device,5500.171678625001,0.84961176,1.5506483,-0.6748621
device,5500.182378083335,0.8494253,1.5506358,-0.67470884
referenceObject,5500.184243625001,0.7438145,1.5195324,0.06377888
device,5500.191927125001,0.84924465,1.5506228,-0.67457235
device,5500.202597250001,0.8490312,1.5506055,-0.67442214
device,5500.211915833334,0.8488339,1.5505886,-0.67429316
device,5500.222211625001,0.8486088,1.5505697,-0.67415977
device,5500.232028708335,0.84838367,1.5505517,-0.67403203
referenceObject,5500.239633541668,0.7438145,1.5195332,0.063788295
device,5500.242148708335,0.8481427,1.550534,-0.67389953
referenceObject,5500.247199500001,0.7438145,1.5195339,0.06379795
device,5500.252105583335,0.8478985,1.5505171,-0.6737696
device,5500.262099750002,0.84764403,1.5505021,-0.67363733
device,5500.272275833335,0.8473777,1.5504875,-0.6735019
referenceObject,5500.274169833335,0.74377024,1.5195044,0.06369048
device,5500.281775583335,0.847123,1.5504711,-0.67337555
device,5500.292361125001,0.84682816,1.550452,-0.6732322
device,5500.302431250001,0.84654397,1.5504344,-0.67309755
device,5500.312116041668,0.84625775,1.5504173,-0.6729621
device,5500.321862708334,0.84596586,1.5504,-0.67281127
referenceObject,5500.328275375001,0.7437702,1.519505,0.063697696
device,5500.332105583335,0.845648,1.5503849,-0.67264855
referenceObject,5500.333980500001,0.7437702,1.5195056,0.06370628
device,5500.341968333335,0.845332,1.5503786,-0.6724833
device,5500.351768250001,0.8450126,1.550381,-0.6723125
device,5500.361930625001,0.8446636,1.5503945,-0.6721214
device,5500.371952458335,0.8443192,1.5504196,-0.6719287
referenceObject,5500.376174500001,0.74377024,1.5195062,0.063714445
device,5500.382183208335,0.84394634,1.5504553,-0.67171675
device,5500.392205166668,0.84356576,1.5504938,-0.671499
device,5500.401839833335,0.84317964,1.5505388,-0.67130524
referenceObject,5500.402271166668,0.7438025,1.5195082,0.06342918
device,5500.412089333335,0.8427671,1.5505736,-0.6710655
device,5500.422089041668,0.84235895,1.5505929,-0.6708133
device,5500.431988708335,0.84194434,1.5506078,-0.67055166
referenceObject,5500.438329291668,0.7438149,1.5195059,0.06342512
device,5500.441981500001,0.8415157,1.5506198,-0.67027694
device,5500.451891916668,0.8410824,1.5506302,-0.6699938
referenceObject,5500.4546286250015,0.7438268,1.5195036,0.0634228
device,5500.462176541668,0.8406291,1.5506374,-0.66969204
device,5500.472177750001,0.8401777,1.5506392,-0.66938597
device,5500.4823485000015,0.83971363,1.5506374,-0.66906583
referenceObject,5500.4849398333345,0.7438384,1.5195014,0.06342143
device,5500.493725333335,0.8391755,1.5506324,-0.668691
device,5500.495849250001,0.83906895,1.5506315,-0.66861707
device,5500.5010097916675,0.8388201,1.5506297,-0.6684438
device,5500.511225625001,0.838322,1.5506251,-0.66809374
referenceObject,5500.514956250001,0.7438094,1.5194024,0.06332469
device,5500.521103500001,0.8378253,1.5506166,-0.6677426
device,5500.531106458335,0.83731586,1.5506016,-0.66737926
device,5500.541297375001,0.83678985,1.5505768,-0.6669996
referenceObject,5500.545318916668,0.74382055,1.5193998,0.06332159
device,5500.551312000001,0.8362689,1.5505433,-0.66662025
device,5500.561283625001,0.8357444,1.5505022,-0.666236
device,5500.571275416668,0.83521533,1.5504533,-0.66584635
device,5500.581157333335,0.83467835,1.5503999,-0.66544783
referenceObject,5500.581860666668,0.7436014,1.5194082,0.06313747
device,5500.591111791668,0.8341393,1.5503461,-0.6650425
device,5500.601286000001,0.8335835,1.5502946,-0.6646216
referenceObject,5500.604435500001,0.7435999,1.519404,0.06313604
device,5500.611457416668,0.83301866,1.5502472,-0.66419107
device,5500.6210632500015,0.83247167,1.5502046,-0.66377187
device,5500.631194666668,0.83189046,1.5501636,-0.66332304
device,5500.6413403333345,0.8312996,1.5501255,-0.66286176
device,5500.651204583334,0.83071774,1.5500932,-0.66240144
referenceObject,5500.652224833335,0.74373853,1.519546,0.06000936
device,5500.661306458334,0.8301213,1.5500662,-0.66191924
referenceObject,5500.668146375001,0.74373853,1.5195427,0.059995472
device,5500.671302375001,0.8295204,1.550043,-0.6614209
device,5500.681051416668,0.8289428,1.5500228,-0.660929
device,5500.6911329583345,0.82834303,1.5500032,-0.66039884
device,5500.701140791668,0.82775646,1.5499848,-0.65985024
referenceObject,5500.7096799166675,0.74367505,1.5194411,0.059197843
device,5500.711123083334,0.8271759,1.549962,-0.6592893
device,5500.721241333335,0.82660025,1.549926,-0.65871084
referenceObject,5500.7249450416675,0.74331814,1.5194383,0.059804916
device,5500.731230416668,0.82604635,1.5498669,-0.65812993
device,5500.740996625002,0.8255179,1.5497744,-0.657551
device,5500.751161791668,0.8250044,1.5496337,-0.65695745
device,5500.761037166668,0.8245205,1.5494449,-0.6563668
referenceObject,5500.761467125001,0.7432433,1.5196065,0.05704534
device,5500.771074375001,0.8240578,1.5492193,-0.6557834
device,5500.781134666668,0.82363635,1.548957,-0.65520054
device,5500.791075750001,0.82326,1.5486676,-0.65462524
referenceObject,5500.7984592500015,0.74323994,1.5196066,0.057049572
device,5500.8010980416675,0.82293344,1.5483582,-0.6540579
device,5500.811438291668,0.82265556,1.5480125,-0.653487
referenceObject,5500.815158291668,0.74308574,1.5195959,0.05502194
device,5500.820854750001,0.8224588,1.5476571,-0.6529765
device,5500.8312474583345,0.8223218,1.5472324,-0.6524567
device,5500.840839958335,0.8222671,1.546783,-0.65198684
device,5500.850817166668,0.8223025,1.5462868,-0.6515266
referenceObject,5500.851677041668,0.74262226,1.5194445,0.05653274
device,5500.8608373333345,0.8224264,1.5457644,-0.6510954
device,5500.870856583335,0.8226427,1.5452394,-0.6506946
referenceObject,5500.873928000001,0.7420122,1.5194014,0.059845507
device,5500.880808625001,0.8229568,1.5447317,-0.65032476
device,5500.890823583334,0.82337093,1.5442553,-0.64997447
device,5500.9009297500015,0.82389283,1.5438156,-0.64964193
device,5500.910878750001,0.824516,1.5434238,-0.6493246
referenceObject,5500.9141519583345,0.7420074,1.5194008,0.05987054
device,5500.920814125001,0.82524526,1.5430753,-0.6490148
device,5500.930868833335,0.82608867,1.542773,-0.64870644
referenceObject,5500.938242250001,0.74190396,1.5196161,0.057827473
device,5500.940819291668,0.8270425,1.5425347,-0.64838815
device,5500.950830958334,0.8281072,1.5423625,-0.64803857
device,5500.960835791668,0.82928437,1.5422493,-0.6476809
referenceObject,5500.964456375002,0.74189544,1.5196178,0.057827294
device,5500.970816500001,0.83057076,1.5421741,-0.64731747
device,5500.980845791668,0.83196974,1.5421103,-0.64695007
device,5500.991137500001,0.8335105,1.542048,-0.64656955
referenceObject,5500.997208125002,0.74188745,1.5196187,0.057833016
device,5501.000852916668,0.83509606,1.5419842,-0.6461949
device,5501.010832500001,0.8368221,1.5419127,-0.6457966
device,5501.020796375001,0.83865017,1.5418372,-0.64537823
referenceObject,5501.0240007500015,0.74187946,1.5196198,0.057838976
device,5501.030859541668,0.84059805,1.5417631,-0.64492154
device,5501.040778166668,0.84263307,1.5416884,-0.6444344
device,5501.051093250001,0.8448196,1.541608,-0.6438981
referenceObject,5501.054301208334,0.74229836,1.5195688,0.057521403
device,5501.061026000001,0.8470508,1.5415217,-0.64334196
device,5501.070978250002,0.84939516,1.5414195,-0.6427472
device,5501.081320250001,0.8519411,1.5412968,-0.6420961
referenceObject,5501.084441708334,0.7427738,1.5195097,0.056634545
device,5501.091116750001,0.85445565,1.5411795,-0.6414444
device,5501.101318500001,0.85715836,1.5410662,-0.64073855
device,5501.111155833334,0.85985184,1.540967,-0.64002645
device,5501.121025333335,0.8627158,1.5408694,-0.63926333
device,5501.131063125001,0.8656358,1.5407768,-0.63848925
device,5501.1411219166675,0.8686991,1.5406821,-0.6376715
referenceObject,5501.141592625001,0.74346447,1.519471,0.05481589
referenceObject,5501.144407125002,0.74346906,1.5194712,0.054779828
device,5501.151059500001,0.8718044,1.540611,-0.6368386
device,5501.161030166668,0.8749996,1.540586,-0.63597417
device,5501.171113291668,0.8783444,1.5406013,-0.63505965
device,5501.181156500002,0.8817427,1.5406352,-0.6341173
device,5501.191051791668,0.88517785,1.54066,-0.633157
device,5501.201396583335,0.88878965,1.5406771,-0.63213474
referenceObject,5501.202501791668,0.74433047,1.5194855,0.05536115
referenceObject,5501.206639291668,0.7446428,1.5195141,0.055588067
device,5501.2109882916675,0.89228463,1.5406971,-0.63113415
device,5501.221039625001,0.895898,1.5407437,-0.6300831
device,5501.230940166668,0.89964604,1.5408353,-0.6289688
referenceObject,5501.234288291668,0.7456977,1.5195754,0.053800404
device,5501.240993416668,0.9033948,1.5409633,-0.6277921
device,5501.250783458335,0.9071752,1.541118,-0.62659335
device,5501.260783083335,0.91103786,1.5412691,-0.625367
device,5501.270754666668,0.9149247,1.541389,-0.6241353
referenceObject,5501.271216791668,0.74652725,1.519607,0.051555336
device,5501.281002416667,0.91887903,1.5414734,-0.6228987
device,5501.290913041668,0.9228343,1.5415306,-0.6216888
device,5501.301073000001,0.9268556,1.5415685,-0.6204675
referenceObject,5501.301933583334,0.7485843,1.5196286,0.046001136
device,5501.311067083335,0.9308698,1.5416046,-0.6192583
device,5501.321005791668,0.93484145,1.541662,-0.6180647
device,5501.331001500002,0.93888336,1.5417432,-0.616854
referenceObject,5501.337661708335,0.7470683,1.5193734,0.05545801
device,5501.341113875002,0.9429248,1.5418475,-0.6156469
device,5501.350774208335,0.946852,1.5419494,-0.6144814
referenceObject,5501.353721333335,0.75063723,1.5196894,0.04415536
device,5501.360894458335,0.95090526,1.5420455,-0.613289
device,5501.3708902083345,0.95490694,1.5421454,-0.6121258
device,5501.380964208334,0.95890534,1.5422636,-0.61096627
device,5501.391144958335,0.96296597,1.5423981,-0.60976744
referenceObject,5501.397781875001,0.7513562,1.5197124,0.04356599
device,5501.4010746250015,0.9668963,1.5425532,-0.6086242
device,5501.410955166668,0.9707865,1.5427197,-0.6075114
referenceObject,5501.414341750001,0.75278115,1.5197822,0.04264468
device,5501.420997875001,0.97473276,1.5428991,-0.6064009
device,5501.431012208334,0.97865856,1.5430902,-0.60531265
device,5501.441026708335,0.98254913,1.5432942,-0.6042464
referenceObject,5501.445166833335,0.75310683,1.5197587,0.0436396
device,5501.451163291668,0.9865164,1.543514,-0.6031712
device,5501.460938000001,0.99024385,1.5437279,-0.60216755
device,5501.4710693333345,0.99409163,1.5439569,-0.6011362
device,5501.481103833335,0.9978593,1.5441833,-0.6001299
referenceObject,5501.483290916668,0.75481725,1.5198164,0.042113602
device,5501.490919666668,1.0015749,1.5444009,-0.5991354
device,5501.501164541668,1.0053871,1.544605,-0.5980902
referenceObject,5501.5044325416675,0.7532143,1.5195887,0.0489251
device,5501.511131750001,1.0090688,1.5447891,-0.5970809
device,5501.520925875001,1.0126269,1.5449593,-0.5961081
device,5501.531003416668,1.0162597,1.5451263,-0.59511757
referenceObject,5501.534249750001,0.75568545,1.5196012,0.04495883
device,5501.540724333335,1.0197566,1.5452787,-0.5941675
device,5501.550761833335,1.0232494,1.5454166,-0.5932248
device,5501.560763291668,1.0267029,1.5455376,-0.5923059
referenceObject,5501.564218041668,0.75671774,1.5195802,0.043669403
device,5501.570767875001,1.030076,1.5456433,-0.5914378
device,5501.580696625001,1.0333668,1.5457298,-0.5905986
device,5501.590765416668,1.0366268,1.545804,-0.58977616
device,5501.601030083335,1.0398502,1.5458779,-0.5889697
referenceObject,5501.6066989166675,0.75829554,1.5195853,0.04240513
device,5501.610963833335,1.0429305,1.5459516,-0.58820266
device,5501.621072833334,1.045987,1.5460331,-0.5874436
referenceObject,5501.624948958334,0.75900173,1.5195978,0.041995585
device,5501.630992250001,1.0489047,1.5461218,-0.58672166
device,5501.641018166668,1.0517812,1.546218,-0.58601254
device,5501.651109875002,1.054554,1.5463213,-0.5853328
device,5501.660933083334,1.0572147,1.5464356,-0.58468765
device,5501.671008916668,1.059851,1.5465821,-0.5840707
referenceObject,5501.6780082916675,0.75988436,1.5195628,0.04245287
device,5501.680925166668,1.0623498,1.5467561,-0.5834895
referenceObject,5501.685047291668,0.7600034,1.5195279,0.042265534
device,5501.690941500001,1.064775,1.5469692,-0.58292836
device,5501.701062333334,1.0671207,1.5472158,-0.58238995
device,5501.711020750001,1.0693431,1.5474722,-0.5818889
referenceObject,5501.714436666668,0.7612127,1.5195069,0.041607022
device,5501.721038583334,1.0714772,1.5477251,-0.58141816
device,5501.731010333335,1.0735132,1.5479683,-0.5809816
device,5501.740980208335,1.075447,1.5482091,-0.58057714
device,5501.750970625001,1.077277,1.5484469,-0.58020365
referenceObject,5501.759237750001,0.7612228,1.519424,0.043323338
device,5501.760893625001,1.0790268,1.5486732,-0.5798464
device,5501.770968958334,1.080749,1.5488378,-0.57943183
referenceObject,5501.7745602916675,0.762301,1.5193841,0.04242891
device,5501.780966125001,1.0823743,1.5489874,-0.579057
device,5501.790977333335,1.0839067,1.5491258,-0.5787226
device,5501.800907750001,1.0853354,1.5492616,-0.5784286
device,5501.810896708334,1.0866634,1.5494051,-0.57816976
referenceObject,5501.820305250001,0.76242673,1.519349,0.042226315
device,5501.820933250001,1.0879176,1.5495646,-0.57793826
device,5501.830922416668,1.089061,1.5497422,-0.5777536
device,5501.8409459583345,1.090111,1.5499564,-0.57763714
referenceObject,5501.841489666668,0.7630654,1.5192513,0.042328417
device,5501.851087458334,1.0910796,1.5501807,-0.57753384
device,5501.860969333335,1.0919373,1.5504014,-0.5774454
device,5501.870909583335,1.0927163,1.5506184,-0.57736677
referenceObject,5501.877651666668,0.7631209,1.5192269,0.042214453
device,5501.880887541668,1.0934143,1.5508282,-0.5772967
device,5501.8912830416675,1.0940535,1.5510333,-0.57723314
referenceObject,5501.894357250001,0.76317334,1.519203,0.04210174
device,5501.901187291668,1.0945796,1.5512099,-0.5771829
device,5501.910972500001,1.0950283,1.5513618,-0.5771487
device,5501.921015125001,1.0954113,1.5514792,-0.57712334
referenceObject,5501.924191250001,0.7632247,1.5191796,0.041990936
device,5501.930869958334,1.0957286,1.551552,-0.5771112
device,5501.940873833335,1.0959992,1.5515717,-0.57711494
device,5501.951207875001,1.0962093,1.551547,-0.57712877
referenceObject,5501.955356000001,0.7632745,1.5189065,0.04288441
device,5501.960909583335,1.0963471,1.5514867,-0.57714957
device,5501.970809708335,1.0964298,1.5513967,-0.5771759
device,5501.980915333334,1.0964583,1.5512801,-0.57720554
referenceObject,5501.9847797500015,0.76332396,1.5188828,0.042781472
device,5501.990822000002,1.0964364,1.5511296,-0.57723916
device,5502.001027000001,1.0963631,1.5509573,-0.5772786
device,5502.010995541668,1.0962435,1.5507942,-0.57732147
device,5502.020917375001,1.096074,1.5506556,-0.57737106
referenceObject,5502.024909166668,0.7634369,1.5188541,0.042625964
device,5502.030713500001,1.0958644,1.5505478,-0.5774254
device,5502.0408435416675,1.0956455,1.550457,-0.5774971
referenceObject,5502.044392958334,0.7635489,1.5188258,0.04247105
device,5502.051035416668,1.0953841,1.5503747,-0.5775762
